=== DDPG Simulation Log ===
Timestamp : 2026-05-29 16:26:15.217213
Base Seed : 98772
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1      7.68        6.00       0.00       0.143        0
   2     13.36       12.00       0.00       0.077        0
   3     17.56       14.00       0.00       0.000        3
   4     17.09       14.00       0.00       0.059        5
   5     17.30       14.00       0.00       0.000        8
   6     15.80       16.00       0.00       0.067        6
   7     18.95       17.00       0.00       0.000        7
   8     18.34       16.00       0.00       0.056        8
   9     18.00       17.00       0.00       0.000        9
  10     18.03       18.00       0.00       0.000        9
  11     18.80       13.00       0.00       0.000       14
  12     13.00       16.00       0.00       0.000       10
  13     17.70       16.00       0.00       0.000       11
  14     16.89       14.00       0.00       0.000       13
  15     14.44       18.00       0.00       0.000        9
  16     19.30       21.00       0.00       0.000        7
  17     21.37       16.00       0.00       0.048       11
  18     16.74       17.00       0.00       0.000       10
  19     17.98       19.00       0.00       0.059        7
  20     20.61       22.00       0.00       0.000        5
  21     22.42       18.00       0.00       0.000        9
  22     18.10       19.00       0.00       0.000        8
  23     19.80       19.00       0.00       0.000        8
  24     19.50       17.00       0.00       0.000       10
  25     17.59       11.00       0.00       0.059       15
  26     11.76       15.00       1.00       0.000       11
  27     16.18       17.00       0.00       0.000       10
  28     18.05       17.00       0.00       0.000       11
  29     17.59       17.00       0.00       0.000       11
  30     17.65       17.00       0.00       0.000       11
  31     17.64       14.00       0.00       0.000       14
  32     14.06       11.00       1.00       0.071       16
  33     11.54       17.00       0.00       0.000       10
  34     18.65       21.00       0.00       0.000        7
  35     21.43       23.00       0.00       0.048        4
  36     23.90       27.00       0.00       0.000        0
  37     26.53       26.00       0.00       0.000        0
  38     25.72       24.00       0.00       0.040        0
  39     24.91       20.00       0.00       0.042        3
  40     21.15       17.00       0.00       0.000        7
  41     17.98       17.00       0.00       0.000        7
  42     18.47       14.00       0.00       0.000       11
  43     14.76       14.00       0.00       0.000       11
  44     15.30       16.00       0.00       0.000       10
  45     17.40       16.00       0.00       0.000       11
  46     16.93       12.00       0.00       0.000       15
  47     12.09       15.00       1.00       0.000       12
  48     15.85       15.00       0.00       0.000       12
  49     15.87       11.00       0.00       0.133       14
  50     12.97       15.00       0.00       0.000       11
  51     16.56       19.00       0.00       0.062        7
  52     20.86       16.00       0.00       0.000       11
  53     16.42       16.00       0.00       0.000       11
  54     17.05       16.00       0.00       0.000       12
  55     16.75       15.00       0.00       0.062       12
