=== CUBIC Simulation Log ===
Timestamp : 2026-05-26 21:25:40.466525
Base Seed : 32642
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1     10.40       10.00       0.00       0.000        0
   2     13.20       10.00       0.00       0.000        0
   3     20.80       13.00       0.00       0.000        0
   4     35.60       15.00       0.00       0.000        5
   5     24.92       18.00       0.00       0.029       21
   6     36.00       22.00       0.00       0.000       23
   7     25.20       21.00       1.00       0.028       37
   8     36.40       22.00       1.00       0.000       40
   9     25.48       21.00       1.00       0.028       54
  10     17.84       16.00       2.00       0.040       62
  11     25.88       17.00       2.00       0.000       62
  12     28.68       17.00       3.00       0.000       70
  13     20.08       14.00       3.00       0.036       83
  14     29.08       18.00       3.00       0.000       85
  15     31.88       18.00       3.00       0.000       96
  16     39.48       15.00       4.00       0.000      112
  17     54.28       15.00       4.00       0.000      136
  18     78.68       15.00       5.00       0.000      175
  19    115.08       18.00       5.00       0.000      235
  20     80.56       17.00       5.00       0.443      282
  21     56.39       15.00       6.00       0.775      285
  22     39.47       18.00       6.00       0.750      281
  23     27.63       27.00       6.00       0.513      273
  24     39.87       22.00       7.00       0.000      278
  25     27.91       22.00       7.00       0.436      278
  26     19.54       21.00       8.00       0.222      278
  27     28.31       18.00       8.00       0.000      279
  28     19.82       13.00       9.00       0.250      287
  29     13.87       13.00      10.00       0.316      287
  30     20.22       13.00      11.00       0.000      287
  31     14.15       13.00      12.00       0.350      287
  32      9.91       11.00      13.00       0.143      288
  33     14.55       11.00      13.00       0.000      286
  34     17.35       12.00      14.00       0.000      288
  35     12.15       14.00      15.00       0.294      286
  36     17.75       14.00      16.00       0.000      284
  37     12.43       16.00      17.00       0.059      284
  38     18.15       17.00      17.00       0.000      279
  39     12.71       15.00      17.00       0.056      281
  40      8.89       13.00      17.00       0.083      279
  41      6.23       14.00      17.00       0.125      272
  42      9.29       16.00      18.00       0.000      262
  43      6.51       13.00      18.00       0.111      257
  44      4.55       13.00      19.00       0.167      249
  45      6.91       14.00      19.00       0.000      239
  46      9.71       14.00      19.00       0.000      231
  47     17.31       16.00      19.00       0.000      224
  48     32.11       16.00      20.00       0.000      225
  49     56.51       16.00      20.00       0.000      241
  50     39.55       17.00      19.00       0.018      279
  51     27.69       18.00      19.00       0.462      282
  52     19.38       12.00      18.00       0.370      287
  53     13.57       13.00      19.00       0.316      287
  54     19.78       13.00      18.00       0.000      287
  55     13.85       14.00      18.00       0.316      286
  56     20.18       13.00      19.00       0.000      286
  57     14.13       13.00      18.00       0.300      287
  58      9.89       13.00      19.00       0.071      287
  59     14.53       13.00      19.00       0.000      283
  60     10.17       14.00      18.00       0.071      282
  61     14.93       15.00      17.00       0.000      277
  62     10.45       15.00      15.00       0.071      275
  63     15.33       16.00      15.00       0.000      269
  64     18.13       16.00      15.00       0.000      268
  65     25.73       13.00      16.00       0.000      273
  66     40.53       16.00      16.00       0.000      282
  67     28.37       21.00      17.00       0.550      279
  68     19.86       20.00      18.00       0.250      280
  69     28.77       20.00      18.00       0.000      279
  70     20.14       20.00      18.00       0.250      280
  71     29.17       21.00      17.00       0.000      279
  72     20.42       20.00      17.00       0.276      280
  73     14.29       23.00      16.00       0.050      276
  74     20.82       24.00      15.00       0.000      266
  75     14.57       21.00      14.00       0.050      264
  76     10.20       17.00      14.00       0.071      260
  77     14.97       14.00      14.00       0.000      256
  78     10.48       11.00      14.00       0.071      258
  79      7.34       11.00      14.00       0.100      256
  80     10.88       15.00      14.00       0.000      248
  81     13.68       15.00      15.00       0.000      243
  82      9.58       16.00      15.00       0.077      239
  83     14.08       18.00      15.00       0.000      230
  84      9.86       20.00      15.00       0.071      223
  85     14.48       17.00      15.00       0.000      215
  86     17.28       18.00      15.00       0.000      211
  87     24.88       15.00      15.00       0.000      213
  88     39.68       14.00      16.00       0.000      223
  89     64.08       13.00      16.00       0.000      249
  90     44.86       13.00      16.00       0.203      287
  91     31.40       12.00      17.00       0.705      288
  92     21.98       12.00      17.00       0.613      288
  93     15.39       11.00      17.00       0.429      289
  94     10.77       10.00      18.00       0.267      290
  95     15.79       16.00      17.00       0.000      284
  96     18.59       20.00      16.00       0.000      279
  97     26.19       20.00      15.00       0.000      277
  98     18.33       21.00      14.00       0.115      279
  99     12.83       19.00      13.00       0.111      276
 100     18.73       14.00      13.00       0.000      274
 101     13.11       11.00      14.00       0.056      280
 102     19.13       12.00      14.00       0.000      281
 103     13.39       10.00      15.00       0.053      289
 104      9.37       12.00      15.00       0.231      287
 105      6.56       16.00      16.00       0.111      279
 106      9.77       16.00      16.00       0.000      269
 107     12.57       16.00      17.00       0.000      262
 108      8.80       14.00      18.00       0.167      258
 109     12.97       13.00      19.00       0.000      253
 110      9.08       15.00      19.00       0.083      249
 111     13.37       21.00      18.00       0.000      237
 112     16.17       21.00      17.00       0.000      229
 113     11.32       24.00      16.00       0.062      220
 114     16.57       25.00      16.00       0.000      206
 115     19.37       23.00      16.00       0.000      199
 116     26.97       19.00      15.00       0.000      199
 117     41.77       19.00      15.00       0.000      206
 118     29.24       14.00      15.00       0.024      232
 119     42.17       18.00      15.00       0.000      243
 120     44.97       13.00      15.00       0.000      272
 121     31.48       19.00      13.00       0.409      279
 122     22.04       21.00      12.00       0.323      279
 123     15.43       28.00      11.00       0.045      272
 124     22.44       25.00      10.00       0.000      262
 125     25.24       29.00       9.00       0.000      255
 126     17.67       23.00       9.00       0.040      256
 127     25.64       24.00       9.00       0.000      249
 128     17.95       19.00      10.00       0.040      254
 129     12.56       19.00      10.00       0.059      251
 130     18.35       16.00      11.00       0.000      247
 131     21.15       18.00      11.00       0.000      247
 132     28.75       18.00      12.00       0.000      250
 133     43.55       14.00      12.00       0.000      264
 134     30.48       20.00      13.00       0.163      280
 135     21.34       27.00      12.00       0.333      273
 136     30.88       26.00      12.00       0.000      268
 137     21.62       25.00      12.00       0.067      271
 138     15.13       26.00      11.00       0.048      265
 139     22.02       22.00      11.00       0.000      258
 140     15.41       17.00      12.00       0.045      262
 141     22.42       21.00      11.00       0.000      256
 142     15.69       18.00      11.00       0.045      259
 143     22.82       21.00      11.00       0.000      253
 144     25.62       21.00      11.00       0.000      254
 145     17.93       19.00      11.00       0.040      259
 146     26.02       14.00      12.00       0.000      262
 147     18.21       13.00      13.00       0.038      274
 148     12.75       11.00      13.00       0.056      280
 149     18.61       13.00      13.00       0.000      279
 150     13.03       12.00      14.00       0.111      283
