=== DDPG_NO_AOI Simulation Log ===
Timestamp : 2026-05-29 16:30:46.052813
Base Seed : 60284
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1      7.47        7.00       0.00       0.000        0
   2     13.76       12.00       0.00       0.077        0
   3     18.00       18.00       0.00       0.000        0
   4     21.03       20.00       0.00       0.000        1
   5     21.77       19.00       0.00       0.048        2
   6     21.17       22.00       0.00       0.048        0
   7     24.04       23.00       0.00       0.042        0
   8     24.35       20.00       0.00       0.042        3
   9     21.10       21.00       0.00       0.000        3
  10     21.98       17.00       0.00       0.095        5
  11     19.28       18.00       0.00       0.000        6
  12     19.17       16.00       0.00       0.105        7
  13     18.64       18.00       0.00       0.000        7
  14     19.03       18.00       0.00       0.000        8
  15     18.70       17.00       0.00       0.056        8
  16     18.66       14.00       0.00       0.000       12
  17     14.00       10.00       1.00       0.000       15
  18      9.72       16.00       0.00       0.000        8
  19     18.60       17.00       0.00       0.000        9
  20     17.77       16.00       0.00       0.059        9
  21     17.78       17.00       0.00       0.000        9
  22     17.93       23.00       0.00       0.000        3
  23     23.78       17.00       0.00       0.000        9
  24     16.91       18.00       0.00       0.000        7
  25     19.37       18.00       0.00       0.000        8
  26     18.63       18.00       0.00       0.000        8
  27     18.77       11.00       0.00       0.000       15
  28      9.89       11.00       1.00       0.000       13
  29     12.35       13.00       0.00       0.083       11
  30     15.56       19.00       0.00       0.000        7
  31     20.40       19.00       0.00       0.000        8
  32     19.17       23.00       0.00       0.000        4
  33     23.46       22.00       0.00       0.043        4
  34     22.60       18.00       0.00       0.045        7
  35     18.82       14.00       0.00       0.056       10
  36     15.53       15.00       0.00       0.000       10
  37     16.27       11.00       0.00       0.000       15
  38     10.33       11.00       1.00       0.000       14
  39     11.92       14.00       1.00       0.000       11
  40     15.58       16.00       0.00       0.067        9
  41     18.30       17.00       0.00       0.000       10
  42     17.51       17.00       0.00       0.000       10
  43     17.65       16.00       0.00       0.059       10
  44     17.48       15.00       0.00       0.000       12
  45     15.21       10.00       1.00       0.000       17
  46      8.69       12.00       1.00       0.000       13
  47     13.56       13.00       1.00       0.000       13
  48     13.68       12.00       1.00       0.077       13
  49     13.67       13.00       1.00       0.000       13
  50     13.66       11.00       1.00       0.077       14
  51     12.30       10.00       1.00       0.000       16
  52      9.66       10.00       1.00       0.000       15
  53     10.71       10.00       1.00       0.000       15
  54     10.42       10.00       1.00       0.000       15
  55     10.50       12.00       1.00       0.000       13
  56     13.25       11.00       1.00       0.077       14
  57     12.36       13.00       1.00       0.000       13
  58     13.88       13.00       1.00       0.000       13
  59     13.62       13.00       1.00       0.000       13
  60     13.67       14.00       0.00       0.000       12
  61     14.90       14.00       0.00       0.000       12
  62     14.68       12.00       0.00       0.071       13
  63     13.46       13.00       1.00       0.000       13
  64     13.69       14.00       0.00       0.000       12
  65     14.90       11.00       1.00       0.000       15
  66     10.62       11.00       1.00       0.000       14
  67     11.88       11.00       1.00       0.000       14
  68     11.63       18.00       0.00       0.000        7
  69     20.06       16.00       0.00       0.000       11
  70     16.03       16.00       0.00       0.000       11
  71     16.74       16.00       0.00       0.000       11
  72     16.60       16.00       0.00       0.000       11
  73     16.63       13.00       0.00       0.000       14
  74     12.72       13.00       1.00       0.000       13
  75     13.82       13.00       1.00       0.000       13
  76     13.63       15.00       0.00       0.000       11
  77     16.26       15.00       0.00       0.000       12
  78     15.42       15.00       0.00       0.067       11
  79     16.82       19.00       0.00       0.000        8
  80     19.88       19.00       0.00       0.000        8
  81     19.27       16.00       0.00       0.053       10
  82     17.11       16.00       0.00       0.059       10
  83     17.59       13.00       0.00       0.000       14
  84     12.51        9.00       1.00       0.083       16
  85     10.01       15.00       1.00       0.100       10
  86     18.43       14.00       0.00       0.056       13
  87     14.55       15.00       0.00       0.000       12
  88     15.72       17.00       0.00       0.067        9
  89     19.09       22.00       0.00       0.000        6
  90     22.33       16.00       0.00       0.000       12
  91     15.24       16.00       0.00       0.000       11
  92     16.88       15.00       0.00       0.062       11
  93     16.51       17.00       0.00       0.000       10
  94     17.84       20.00       0.00       0.000        7
  95     20.76       22.00       0.00       0.050        4
  96     23.24       22.00       0.00       0.043        4
  97     22.64       26.00       0.00       0.000        0
  98     25.88       24.00       0.00       0.000        1
  99     23.87       17.00       0.00       0.000        7
 100     17.43       15.00       0.00       0.000        9
 101     16.27       18.00       0.00       0.000        7
 102     19.49       11.00       0.00       0.105       13
 103     12.14       12.00       1.00       0.083       12
 104     14.32       13.00       0.00       0.000       13
 105     13.55       13.00       1.00       0.000       13
 106     13.68       10.00       1.00       0.000       16
 107      9.38        9.00       1.00       0.111       15
 108     11.29       10.00       1.00       0.000       16
 109      9.87       10.00       1.00       0.000       15
 110     10.65       14.00       1.00       0.000       11
 111     15.80       14.00       0.00       0.000       12
 112     14.53       14.00       0.00       0.000       12
 113     14.75       14.00       0.00       0.071       11
