=== DDPG_NO_AOI Simulation Log ===
Timestamp : 2026-05-29 16:26:15.217213
Base Seed : 98772
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1      7.47        6.00       0.00       0.143        0
   2     14.66       13.00       0.00       0.071        0
   3     18.67       16.00       0.00       0.056        1
   4     19.80       19.00       0.00       0.000        1
   5     21.26       16.00       0.00       0.048        5
   6     18.19       14.00       0.00       0.000        9
   7     15.22       14.00       0.00       0.000       10
   8     15.32       15.00       0.00       0.000       10
   9     16.31       15.00       0.00       0.000       11
  10     15.77       15.00       0.00       0.000       11
  11     15.86       17.00       0.00       0.000        9
  12     18.29       17.00       0.00       0.000       10
  13     17.51       15.00       0.00       0.000       12
  14     15.20       12.00       1.00       0.000       15
  15     11.54       16.00       0.00       0.000       10
  16     17.88       18.00       0.00       0.000        9
  17     18.65       23.00       0.00       0.056        3
  18     24.47       23.00       0.00       0.042        3
  19     23.42       26.00       0.00       0.000        0
  20     25.83       23.00       0.00       0.000        2
  21     22.83       24.00       0.00       0.000        0
  22     24.68       19.00       0.00       0.000        5
  23     19.18       19.00       0.00       0.000        5
  24     20.26       15.00       0.00       0.050        9
  25     16.41       16.00       0.00       0.000        9
  26     17.30       13.00       0.00       0.000       13
  27     12.95       19.00       0.00       0.000        6
  28     20.85       19.00       0.00       0.000        7
  29     19.36       21.00       0.00       0.000        5
  30     21.80       25.00       0.00       0.048        0
  31     26.03       23.00       0.00       0.000        3
  32     22.52       16.00       0.00       0.000        9
  33     16.24       15.00       0.00       0.062        9
  34     17.24       15.00       0.00       0.000       11
  35     15.61       10.00       1.00       0.000       16
  36      9.00       10.00       1.00       0.000       15
  37     10.89       10.00       1.00       0.000       15
  38     10.38       10.00       1.00       0.000       15
  39     10.51        9.00       1.00       0.100       15
  40     10.97       10.00       1.00       0.000       15
  41     10.37       12.00       1.00       0.000       13
  42     13.27       16.00       0.00       0.077        9
  43     18.86       17.00       0.00       0.000       10
  44     17.41       17.00       0.00       0.000       10
  45     17.67       17.00       0.00       0.000       10
  46     17.62       20.00       0.00       0.000        7
  47     20.80       15.00       0.00       0.000       12
  48     14.55       16.00       0.00       0.000       10
  49     17.33       16.00       0.00       0.000       11
  50     16.50       17.00       0.00       0.125        8
  51     19.92       13.00       0.00       0.000       14
  52     12.04       12.00       1.00       0.083       13
  53     13.99       13.00       1.00       0.000       13
  54     13.60       13.00       1.00       0.000       13
  55     13.67       10.00       1.00       0.000       16
  56      9.38       10.00       1.00       0.000       15
  57     10.79       11.00       1.00       0.000       14
  58     11.85       10.00       1.00       0.091       14
  59     11.84       18.00       0.00       0.000        7
  60     20.04       18.00       0.00       0.100        7
  61     19.96       20.00       0.00       0.000        6
  62     20.61       19.00       0.00       0.000        7
  63     19.40       17.00       0.00       0.105        7
  64     19.33       13.00       0.00       0.000       13
  65     12.54       12.00       1.00       0.000       13
  66     12.90       12.00       1.00       0.000       13
  67     12.84       12.00       1.00       0.000       13
  68     12.85       12.00       1.00       0.000       13
  69     12.85       13.00       1.00       0.000       12
  70     14.12       12.00       1.00       0.000       14
  71     12.19       12.00       1.00       0.000       14
  72     12.59       12.00       1.00       0.000       14
  73     12.52       15.00       0.00       0.000       11
  74     16.48       13.00       0.00       0.000       14
  75     12.75       13.00       1.00       0.000       13
  76     13.81       13.00       1.00       0.000       13
  77     13.63       13.00       1.00       0.000       13
  78     13.66       10.00       1.00       0.000       16
  79      9.38       16.00       1.00       0.000        9
  80     18.37       17.00       0.00       0.000       10
  81     17.49       20.00       0.00       0.000        7
  82     20.82       21.00       0.00       0.100        4
  83     23.09       26.00       0.00       0.043        0
  84     26.41       21.00       0.00       0.000        5
  85     20.36       19.00       0.00       0.050        5
  86     20.64       17.00       0.00       0.000        8
  87     17.71       15.00       0.00       0.000       10
  88     15.89       16.00       0.00       0.000        9
  89     17.39       16.00       0.00       0.000       10
  90     16.80       17.00       0.00       0.000        9
  91     18.11       16.00       0.00       0.056       10
  92     17.36       16.00       0.00       0.000       11
  93     16.49       11.00       1.00       0.000       16
  94      9.90       12.00       1.00       0.000       13
  95     13.35       15.00       0.00       0.077       10
  96     17.62       19.00       0.00       0.000        8
  97     19.72       19.00       0.00       0.000        8
  98     19.30       19.00       0.00       0.000        8
  99     19.39       17.00       0.00       0.053        9
 100     18.24       15.00       0.00       0.000       12
 101     15.08       14.00       0.00       0.067       12
 102     15.53       18.00       0.00       0.000        9
 103     19.10       20.00       0.00       0.000        8
 104     20.22       24.00       0.00       0.100        2
 105     25.90       24.00       0.00       0.080        1
 106     24.99       23.00       0.00       0.000        2
 107     23.01       20.00       0.00       0.000        5
 108     20.28       18.00       0.00       0.000        7
 109     18.72       12.00       0.00       0.000       13
 110     11.62       12.00       1.00       0.000       12
 111     13.43       12.00       1.00       0.000       13
 112     12.76       14.00       0.00       0.000       11
 113     15.42       13.00       0.00       0.067       12
 114     14.55       13.00       0.00       0.071       12
 115     14.73       11.00       1.00       0.000       15
 116     10.65       11.00       1.00       0.000       14
 117     11.87       10.00       1.00       0.091       14
 118     11.84       10.00       1.00       0.091       14
 119     11.84       15.00       0.00       0.000       10
 120     16.97       14.00       0.00       0.062       11
 121     15.53       13.00       0.00       0.133       11
 122     15.61       13.00       0.00       0.000       13
 123     13.30       13.00       1.00       0.000       13
 124     13.72       15.00       0.00       0.000       11
 125     16.24       15.00       0.00       0.000       12
 126     15.42       19.00       0.00       0.000        8
 127     20.15       25.00       0.00       0.000        3
 128     24.95       25.00       0.00       0.083        0
 129     26.16       26.00       0.00       0.000        0
 130     25.55       25.00       0.00       0.000        0
 131     24.99       24.00       0.00       0.000        0
