=== DDPG Simulation Log ===
Timestamp : 2026-05-26 21:25:40.466525
Base Seed : 32642
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1      5.86        5.00       0.00       0.000        0
   2      9.63        9.00       0.00       0.000        0
   3     12.48       12.00       0.00       0.000        0
   4     15.11       14.00       0.00       0.000        1
   5     16.97       13.00       0.00       0.000        4
   6     14.76       16.00       0.00       0.071        1
   7     19.82       20.00       0.00       0.000        0
   8     21.49       20.00       0.00       0.048        0
   9     21.79       21.00       0.00       0.000        0
  10     21.89       20.00       0.00       0.048        0
  11     21.74       14.00       0.00       0.048        6
  12     15.56       12.00       0.00       0.000        9
  13     12.48       12.00       0.00       0.083        8
  14     14.19       17.00       0.00       0.000        5
  15     18.93       16.00       0.00       0.056        6
  16     18.12       17.00       0.00       0.000        7
  17     18.11       14.00       0.00       0.000       11
  18     13.98       13.00       0.00       0.000       11
  19     13.31       10.00       1.00       0.000       14
  20      9.03       11.00       1.00       0.000       12
  21     10.99       12.00       1.00       0.000       10
  22     12.21       17.00       0.00       0.000        5
  23     19.06       16.00       0.00       0.053        7
  24     17.86       17.00       0.00       0.000        7
  25     18.14       15.00       0.00       0.056        9
  26     16.42       15.00       0.00       0.000       10
  27     15.59       10.00       1.00       0.000       15
  28      8.57       10.00       1.00       0.000       13
  29      9.91       10.00       1.00       0.000       12
  30      9.92       10.00       1.00       0.000       11
  31     10.14       10.00       1.00       0.000       11
  32     10.11        9.00       1.00       0.100       11
  33     10.56       10.00       1.00       0.000       11
  34     10.04       10.00       1.00       0.000       11
  35     10.12       10.00       1.00       0.000       11
  36     10.11       18.00       0.00       0.000        3
  37     20.11       18.00       0.00       0.000        5
  38     19.10       18.00       0.00       0.000        6
  39     19.00       17.00       0.00       0.056        6
  40     18.92       18.00       0.00       0.000        6
  41     19.02       10.00       0.00       0.000       15
  42      8.70       10.00       1.00       0.000       13
  43      9.89       10.00       1.00       0.000       12
  44      9.92       17.00       0.00       0.000        4
  45     19.30       19.00       0.00       0.053        3
  46     20.92       20.00       0.00       0.050        2
  47     21.51       20.00       0.00       0.048        2
  48     21.41       21.00       0.00       0.048        1
  49     22.22       17.00       0.00       0.045        5
  50     18.60       15.00       0.00       0.000        8
  51     15.88       14.00       0.00       0.000        9
  52     14.75       14.00       0.00       0.000        9
  53     14.86       21.00       0.00       0.000        2
  54     22.00       17.00       0.00       0.048        5
  55     18.66       20.00       0.00       0.000        3
  56     21.00       19.00       0.00       0.050        3
  57     20.69       21.00       0.00       0.000        2
  58     21.65       13.00       0.00       0.000       10
  59     12.70       13.00       0.00       0.000        9
  60     13.97       16.00       0.00       0.000        6
  61     17.93       16.00       0.00       0.000        7
  62     17.28       16.00       0.00       0.000        8
  63     17.15       14.00       0.00       0.059       10
  64     15.12       15.00       0.00       0.000       10
  65     15.72        9.00       1.00       0.067       15
  66      8.42       10.00       1.00       0.000       13
