=== DDPG Simulation Log ===
Timestamp : 2026-05-29 16:30:46.052813
Base Seed : 60284
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1      7.68        7.00       0.00       0.000        0
   2     13.33       12.00       0.00       0.077        0
   3     17.56       17.00       0.00       0.000        0
   4     20.13       20.00       0.00       0.000        0
   5     22.09       16.00       0.00       0.091        4
   6     18.58       17.00       0.00       0.056        4
   7     19.69       13.00       0.00       0.000       10
   8     13.91       10.00       1.00       0.000       13
   9     10.60       12.00       0.00       0.200        9
  10     17.18       19.00       0.00       0.000        7
  11     20.19       18.00       0.00       0.050        8
  12     19.18       18.00       0.00       0.053        8
  13     19.39       22.00       0.00       0.053        4
  14     23.43       18.00       0.00       0.043        8
  15     18.64       13.00       0.00       0.000       13
  16     13.28       14.00       0.00       0.000       12
  17     15.22       13.00       0.00       0.067       13
  18     14.52       11.00       1.00       0.000       16
  19     10.67       11.00       1.00       0.000       15
  20     11.55       11.00       1.00       0.000       15
  21     11.39       10.00       1.00       0.000       16
  22     10.18       14.00       1.00       0.000       12
  23     15.13       13.00       0.00       0.067       13
  24     14.53       13.00       0.00       0.071       13
  25     14.68       14.00       0.00       0.000       13
  26     14.75       14.00       0.00       0.000       13
  27     14.74       13.00       1.00       0.000       14
  28     13.06       17.00       0.00       0.000       10
  29     18.47       17.00       0.00       0.000       11
  30     17.53       17.00       0.00       0.000       11
  31     17.66       20.00       0.00       0.000        8
  32     20.62       20.00       0.00       0.050        7
  33     20.97       16.00       0.00       0.000       11
  34     16.40       17.00       0.00       0.000       10
  35     18.03       17.00       0.00       0.000       11
  36     17.59       20.00       0.00       0.000        8
  37     20.63       15.00       0.00       0.000       13
  38     14.86       14.00       0.00       0.071       12
  39     15.93       15.00       0.00       0.067       11
  40     17.00       19.00       0.00       0.059        8
  41     20.53       15.00       0.00       0.000       13
  42     14.87       15.00       0.00       0.000       12
  43     16.01       17.00       0.00       0.062       10
  44     18.74       16.00       0.00       0.000       12
  45     16.48       12.00       1.00       0.000       16
  46     11.49       12.00       1.00       0.000       15
  47     12.29       12.00       1.00       0.000       15
  48     12.20       13.00       1.00       0.083       13
  49     14.60       18.00       0.00       0.000        9
  50     19.29       25.00       0.00       0.000        3
  51     25.20       25.00       0.00       0.000        3
  52     24.50       26.00       0.00       0.042        0
  53     26.31       26.00       0.00       0.000        0
  54     25.75       24.00       0.00       0.040        0
  55     24.90       24.00       0.00       0.000        0
  56     24.46       24.00       0.00       0.000        0
  57     24.51       20.00       0.00       0.000        4
  58     20.52       13.00       0.00       0.050       10
  59     14.39       10.00       1.00       0.000       14
  60     10.25       10.00       1.00       0.000       14
  61     10.94       11.00       1.00       0.000       13
  62     12.01       11.00       1.00       0.000       14
  63     11.62       11.00       1.00       0.000       14
  64     11.68       11.00       1.00       0.000       14
  65     11.67       17.00       0.00       0.000        8
  66     19.07       15.00       0.00       0.000       12
  67     15.38       15.00       0.00       0.000       12
  68     15.93       15.00       0.00       0.000       12
  69     15.86       21.00       0.00       0.000        6
  70     21.95       15.00       0.00       0.000       12
  71     14.93       15.00       0.00       0.000       11
  72     16.29       18.00       0.00       0.062        8
  73     19.94       27.00       0.00       0.000        0
  74     26.89       21.00       0.00       0.000        5
  75     20.73       23.00       0.00       0.000        2
  76     23.78       22.00       0.00       0.043        2
  77     23.19       20.00       0.00       0.000        5
  78     20.51       18.00       0.00       0.000        7
  79     18.85       16.00       0.00       0.111        7
  80     18.66       16.00       0.00       0.056        8
  81     17.95       21.00       0.00       0.000        4
  82     22.19       19.00       0.00       0.045        6
  83     20.15       13.00       0.00       0.000       13
  84     13.08       13.00       1.00       0.000       13
  85     13.52       17.00       0.00       0.000        9
  86     18.64       13.00       0.00       0.056       13
  87     13.91       14.00       0.00       0.000       12
  88     15.13       14.00       0.00       0.000       13
  89     14.69       14.00       0.00       0.000       13
  90     14.75        9.00       1.00       0.071       17
  91      9.19       10.00       1.00       0.000       16
  92     10.60       13.00       1.00       0.000       13
  93     13.86       17.00       0.00       0.000        9
  94     18.59       20.00       0.00       0.000        7
  95     20.71       20.00       0.00       0.000        7
  96     20.42       19.00       0.00       0.050        7
  97     20.21       16.00       0.00       0.000       11
  98     16.52       13.00       0.00       0.000       14
  99     13.28       15.00       0.00       0.154       10
