=== RENO Simulation Log ===
Timestamp : 2026-05-29 16:51:01.244156
Base Seed : 90534
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1     20.00       10.00       0.00       0.000        0
   2     40.00       10.00       0.00       0.000       10
   3     20.00       16.00       0.00       0.025       33
   4     20.05       21.00       1.00       0.000       32
   5     20.10       19.00       1.00       0.000       33
   6     10.05       19.00       1.00       0.100       32
   7     10.15       21.00       1.00       0.000       21
   8     10.25       17.00       1.00       0.000       14
   9     10.35       17.00       0.00       0.000        7
  10     10.44       17.00       0.00       0.000        0
  11      5.22        9.00       0.00       0.100        0
  12      2.61        4.00       0.00       0.200        0
  13      2.99        2.00       0.00       0.000        0
  14      3.33        2.00       0.00       0.000        0
  15      3.63        3.00       0.00       0.000        0
  16      3.90        3.00       0.00       0.000        0
  17      4.16        3.00       0.00       0.000        0
  18      4.40        4.00       0.00       0.000        0
  19      4.63        4.00       0.00       0.000        0
  20      4.84        4.00       0.00       0.000        0
  21      5.05        4.00       0.00       0.000        0
  22      5.25        5.00       0.00       0.000        0
  23      5.44        5.00       0.00       0.000        0
  24      5.62        5.00       0.00       0.000        0
  25      5.80        5.00       0.00       0.000        0
  26      5.97        5.00       0.00       0.000        0
  27      6.14        5.00       0.00       0.000        0
  28      6.30        6.00       0.00       0.000        0
  29      3.15        4.00       0.00       0.333        0
  30      3.47        3.00       0.00       0.000        0
  31      3.76        3.00       0.00       0.000        0
  32      4.02        3.00       0.00       0.000        0
  33      4.27        4.00       0.00       0.000        0
  34      2.14        3.00       0.00       0.250        0
  35      2.60        2.00       0.00       0.000        0
  36      2.99        2.00       0.00       0.000        0
  37      3.32        2.00       0.00       0.000        0
  38      3.62        3.00       0.00       0.000        0
  39      3.90        3.00       0.00       0.000        0
  40      2.00        2.00       0.00       0.333        0
  41      2.50        2.00       0.00       0.000        0
  42      2.90        2.00       0.00       0.000        0
  43      3.24        2.00       0.00       0.000        0
  44      3.55        3.00       0.00       0.000        0
  45      3.83        3.00       0.00       0.000        0
  46      4.10        3.00       0.00       0.000        0
  47      4.34        4.00       0.00       0.000        0
  48      4.57        4.00       0.00       0.000        0
  49      4.79        4.00       0.00       0.000        0
  50      5.00        4.00       0.00       0.000        0
  51      5.20        4.00       0.00       0.000        0
  52      5.39        5.00       0.00       0.000        0
  53      5.58        5.00       0.00       0.000        0
  54      5.75        5.00       0.00       0.000        0
  55      5.93        5.00       0.00       0.000        0
  56      6.10        5.00       0.00       0.000        0
  57      3.05        4.00       0.00       0.333        0
  58      3.38        3.00       0.00       0.000        0
  59      2.00        2.00       0.00       0.333        0
  60      2.50        2.00       0.00       0.000        0
  61      2.90        2.00       0.00       0.000        0
  62      3.24        2.00       0.00       0.000        0
  63      3.55        3.00       0.00       0.000        0
  64      2.00        2.00       0.00       0.333        0
  65      2.50        2.00       0.00       0.000        0
  66      2.90        2.00       0.00       0.000        0
  67      3.24        2.00       0.00       0.000        0
  68      3.55        3.00       0.00       0.000        0
  69      3.83        3.00       0.00       0.000        0
  70      4.10        3.00       0.00       0.000        0
  71      4.34        4.00       0.00       0.000        0
  72      4.57        4.00       0.00       0.000        0
  73      4.79        4.00       0.00       0.000        0
  74      5.00        4.00       0.00       0.000        0
  75      5.20        4.00       0.00       0.000        0
  76      5.39        5.00       0.00       0.000        0
  77      5.58        5.00       0.00       0.000        0
  78      5.75        5.00       0.00       0.000        0
  79      5.93        5.00       0.00       0.000        0
  80      6.10        5.00       0.00       0.000        0
  81      6.26        6.00       0.00       0.000        0
  82      6.42        6.00       0.00       0.000        0
  83      6.58        6.00       0.00       0.000        0
  84      6.73        6.00       0.00       0.000        0
  85      6.88        6.00       0.00       0.000        0
  86      7.02        6.00       0.00       0.000        0
  87      7.17        7.00       0.00       0.000        0
  88      7.30        7.00       0.00       0.000        0
  89      7.44        7.00       0.00       0.000        0
  90      7.58        7.00       0.00       0.000        0
  91      7.71        7.00       0.00       0.000        0
  92      3.85        6.00       0.00       0.143        0
  93      4.11        3.00       0.00       0.000        0
  94      4.36        4.00       0.00       0.000        0
  95      2.18        3.00       0.00       0.250        0
  96      2.64        2.00       0.00       0.000        0
  97      3.02        2.00       0.00       0.000        0
  98      3.35        3.00       0.00       0.000        0
  99      3.65        3.00       0.00       0.000        0
 100      3.92        3.00       0.00       0.000        0
 101      4.18        3.00       0.00       0.000        0
 102      4.42        4.00       0.00       0.000        0
 103      4.64        4.00       0.00       0.000        0
 104      4.86        4.00       0.00       0.000        0
 105      5.06        4.00       0.00       0.000        0
 106      5.26        5.00       0.00       0.000        0
 107      5.45        5.00       0.00       0.000        0
 108      5.63        5.00       0.00       0.000        0
 109      5.81        5.00       0.00       0.000        0
 110      5.98        5.00       0.00       0.000        0
 111      6.15        5.00       0.00       0.000        0
 112      6.31        6.00       0.00       0.000        0
 113      6.47        6.00       0.00       0.000        0
 114      6.63        6.00       0.00       0.000        0
 115      6.78        6.00       0.00       0.000        0
 116      6.92        6.00       0.00       0.000        0
 117      7.07        6.00       0.00       0.000        0
 118      3.53        6.00       0.00       0.143        0
 119      3.82        3.00       0.00       0.000        0
 120      4.08        3.00       0.00       0.000        0
 121      4.32        4.00       0.00       0.000        0
 122      4.56        4.00       0.00       0.000        0
 123      4.78        4.00       0.00       0.000        0
 124      4.98        4.00       0.00       0.000        0
 125      5.19        4.00       0.00       0.000        0
 126      5.38        5.00       0.00       0.000        0
 127      5.56        5.00       0.00       0.000        0
 128      5.74        5.00       0.00       0.000        0
 129      5.92        5.00       0.00       0.000        0
 130      6.09        5.00       0.00       0.000        0
 131      6.25        6.00       0.00       0.000        0
 132      6.41        6.00       0.00       0.000        0
 133      3.21        5.00       0.00       0.167        0
 134      3.52        3.00       0.00       0.000        0
 135      3.80        3.00       0.00       0.000        0
 136      4.06        3.00       0.00       0.000        0
 137      4.31        4.00       0.00       0.000        0
 138      4.54        4.00       0.00       0.000        0
 139      4.76        4.00       0.00       0.000        0
 140      4.97        4.00       0.00       0.000        0
 141      5.17        4.00       0.00       0.000        0
 142      5.37        5.00       0.00       0.000        0
 143      5.55        5.00       0.00       0.000        0
 144      5.73        5.00       0.00       0.000        0
 145      5.91        5.00       0.00       0.000        0
 146      2.95        4.00       0.00       0.200        0
 147      3.29        2.00       0.00       0.000        0
 148      3.60        3.00       0.00       0.000        0
 149      3.87        3.00       0.00       0.000        0
 150      4.13        3.00       0.00       0.000        0
