=== CUBIC Simulation Log ===
Timestamp : 2026-05-29 16:29:27.005196
Base Seed : 70551
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1     10.40       10.00       0.00       0.000        0
   2     13.20       10.00       0.00       0.000        0
   3      9.24       11.00       0.00       0.154        0
   4     13.60        9.00       0.00       0.000        0
   5     16.40       13.00       0.00       0.000        0
   6     24.00       16.00       0.00       0.000        0
   7     16.80       17.00       0.00       0.042        6
   8     24.40       20.00       0.00       0.000        2
   9     27.20       20.00       0.00       0.000        6
  10     19.04       24.00       0.00       0.037        8
  11     27.60       27.00       0.00       0.000        0
  12     30.40       24.00       0.00       0.000        3
  13     38.00       20.00       0.00       0.000       13
  14     26.60       19.00       0.00       0.026       31
  15     18.62       12.00       1.00       0.077       43
  16     13.03       16.00       2.00       0.056       44
  17     19.02       20.00       2.00       0.000       37
  18     13.31       20.00       2.00       0.053       35
  19     19.42       21.00       1.00       0.000       27
  20     13.59       20.00       1.00       0.053       25
  21     19.82       17.00       1.00       0.000       21
  22     22.62       17.00       1.00       0.000       23
  23     15.83       15.00       1.00       0.045       29
  24     23.02       23.00       1.00       0.000       21
  25     25.82       23.00       0.00       0.000       21
  26     18.07       23.00       0.00       0.040       22
  27     26.22       20.00       1.00       0.000       20
  28     29.02       18.00       1.00       0.000       28
  29     20.31       15.00       1.00       0.034       41
  30     14.22       19.00       1.00       0.050       41
  31     20.71       19.00       2.00       0.000       36
  32     14.50       21.00       2.00       0.050       34
  33     10.15       22.00       1.00       0.071       25
  34     14.90       19.00       1.00       0.000       16
  35     10.43       15.00       1.00       0.143       13
  36      7.30       15.00       0.00       0.100        7
  37      5.11       12.00       0.00       0.143        1
  38      7.70        6.00       0.00       0.000        0
  39     10.50        7.00       0.00       0.000        0
  40     18.10       10.00       0.00       0.000        0
  41     32.90       11.00       0.00       0.000        7
  42     57.30       11.00       0.00       0.000       28
  43     93.70       10.00       1.00       0.000       75
  44    144.50       10.00       2.00       0.000      158
  45    101.15       16.00       2.00       0.014      284
  46     70.81       16.00       3.00       0.842      284
  47     49.56       16.00       4.00       0.771      284
  48     34.69       18.00       4.00       0.673      282
  49     24.29       17.00       5.00       0.500      282
  50     17.00       10.00       6.00       0.292      289
  51     11.90       11.00       7.00       0.353      289
  52     17.40       18.00       8.00       0.000      282
  53     20.20       16.00       9.00       0.000      283
  54     14.14       16.00      10.00       0.150      284
  55      9.90       22.00      10.00       0.071      275
  56     14.54       29.00      11.00       0.000      255
  57     10.18       21.00      12.00       0.071      247
  58     14.94       27.00      13.00       0.000      230
  59     17.74       27.00      14.00       0.000      217
  60     25.34       20.00      14.00       0.000      214
  61     40.14       14.00      14.00       0.000      225
  62     64.54       14.00      15.00       0.000      251
  63     45.18        9.00      15.00       0.250      290
  64     31.62       16.00      15.00       0.778      284
  65     22.14       16.00      15.00       0.484      284
  66     15.50       22.00      14.00       0.273      278
  67     10.85       21.00      14.00       0.067      271
  68     15.90       22.00      14.00       0.000      259
  69     18.70       17.00      13.00       0.000      257
  70     13.09       18.00      13.00       0.056      256
  71      9.16       12.00      12.00       0.077      256
  72     13.49       13.00      12.00       0.000      252
  73     16.29       16.00      13.00       0.000      249
  74     23.89       17.00      13.00       0.000      248
  75     38.69       15.00      13.00       0.000      256
  76     27.08       14.00      14.00       0.026      279
  77     18.96       17.00      15.00       0.222      283
  78     13.27       14.00      15.00       0.056      286
  79     19.36       12.00      16.00       0.000      287
  80     13.55       12.00      17.00       0.316      288
  81      9.48       12.00      18.00       0.077      288
  82     13.95       17.00      17.00       0.000      280
  83     16.75       17.00      17.00       0.000      276
  84     11.72       16.00      17.00       0.062      275
  85     17.15       17.00      16.00       0.000      269
  86     19.95       17.00      16.00       0.000      269
  87     27.55       10.00      17.00       0.000      278
  88     19.28       10.00      17.00       0.185      290
  89     13.50        9.00      17.00       0.526      290
  90      9.45       13.00      17.00       0.308      286
  91     13.90       14.00      17.00       0.000      281
  92     16.70       17.00      17.00       0.000      277
  93     24.30       17.00      17.00       0.000      276
  94     39.10       17.00      18.00       0.000      283
  95     27.37       15.00      19.00       0.564      285
  96     19.16       14.00      19.00       0.481      285
  97     13.41       18.00      19.00       0.211      282
  98     19.56       18.00      19.00       0.000      277
  99     22.36       18.00      18.00       0.000      278
 100     29.96       23.00      17.00       0.000      277
 101     20.97       23.00      17.00       0.207      277
 102     14.68       14.00      16.00       0.100      281
 103     21.37       16.00      16.00       0.000      279
 104     14.96       15.00      17.00       0.048      284
 105     21.77       11.00      17.00       0.000      287
 106     15.24       16.00      17.00       0.381      284
 107     22.17       16.00      17.00       0.000      283
 108     15.52       16.00      16.00       0.227      284
 109     22.57       16.00      16.00       0.000      283
 110     15.80       15.00      16.00       0.227      285
 111     22.97       10.00      17.00       0.000      290
 112     16.08       12.00      17.00       0.545      288
 113     11.26       14.00      17.00       0.250      286
 114     16.48       18.00      17.00       0.000      279
 115     11.54       17.00      17.00       0.062      277
 116     16.88       18.00      17.00       0.000      270
 117     19.68       20.00      17.00       0.000      266
 118     27.28       19.00      17.00       0.000      266
 119     19.10       15.00      17.00       0.037      277
 120     27.68       16.00      17.00       0.000      280
 121     19.38       16.00      17.00       0.259      284
 122     13.56       11.00      18.00       0.211      288
 123      9.49       10.00      18.00       0.077      290
 124     13.96       10.00      18.00       0.000      289
 125      9.77       14.00      18.00       0.154      286
 126     14.36       14.00      18.00       0.000      281
 127     17.16       14.00      19.00       0.000      281
 128     12.01       13.00      19.00       0.059      284
 129      8.41       12.00      19.00       0.083      283
 130     12.41       10.00      19.00       0.000      281
 131     15.21       12.00      20.00       0.000      281
 132     22.81       12.00      19.00       0.000      284
 133     15.97       11.00      19.00       0.318      288
 134     11.18       12.00      19.00       0.200      288
 135     16.37       12.00      20.00       0.000      287
 136     11.46       10.00      20.00       0.188      290
 137      8.02        9.00      20.00       0.182      290
 138     11.86       10.00      20.00       0.000      288
 139     14.66       14.00      21.00       0.000      285
 140     22.26       14.00      21.00       0.000      285
 141     15.58       14.00      22.00       0.318      286
 142     10.91       14.00      22.00       0.067      286
 143     15.98       18.00      22.00       0.000      278
 144     18.78       13.00      22.00       0.000      280
 145     26.38       13.00      22.00       0.000      285
 146     18.47       12.00      22.00       0.462      287
 147     12.93       14.00      22.00       0.278      286
 148     18.87       11.00      22.00       0.000      287
 149     13.21       11.00      22.00       0.278      289
 150      9.24       11.00      22.00       0.154      289
