=== RENO Simulation Log ===
Timestamp : 2026-05-27 12:40:06.897901
Base Seed : 83147
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1      5.00        9.00       0.00       0.100        0
   2      2.50        4.00       0.00       0.200        0
   3      2.90        2.00       0.00       0.000        0
   4      3.24        2.00       0.00       0.000        0
   5      3.55        3.00       0.00       0.000        0
   6      3.83        3.00       0.00       0.000        0
   7      4.10        3.00       0.00       0.000        0
   8      4.34        4.00       0.00       0.000        0
   9      4.57        4.00       0.00       0.000        0
  10      4.79        4.00       0.00       0.000        0
  11      5.00        4.00       0.00       0.000        0
  12      5.20        4.00       0.00       0.000        0
  13      5.39        5.00       0.00       0.000        0
  14      5.58        5.00       0.00       0.000        0
  15      5.75        5.00       0.00       0.000        0
  16      5.93        5.00       0.00       0.000        0
  17      6.10        5.00       0.00       0.000        0
  18      6.26        6.00       0.00       0.000        0
  19      6.42        6.00       0.00       0.000        0
  20      6.58        6.00       0.00       0.000        0
  21      6.73        6.00       0.00       0.000        0
  22      6.88        6.00       0.00       0.000        0
  23      7.02        6.00       0.00       0.000        0
  24      7.17        7.00       0.00       0.000        0
  25      7.30        7.00       0.00       0.000        0
  26      7.44        7.00       0.00       0.000        0
  27      7.58        7.00       0.00       0.000        0
  28      7.71        7.00       0.00       0.000        0
  29      7.84        7.00       0.00       0.000        0
  30      7.97        7.00       0.00       0.000        0
  31      8.09        7.00       0.00       0.000        0
  32      8.21        8.00       0.00       0.000        0
  33      4.11        7.00       0.00       0.125        0
  34      4.35        4.00       0.00       0.000        0
  35      4.58        4.00       0.00       0.000        0
  36      2.29        3.00       0.00       0.250        0
  37      2.73        2.00       0.00       0.000        0
  38      3.09        2.00       0.00       0.000        0
  39      3.42        3.00       0.00       0.000        0
  40      3.71        3.00       0.00       0.000        0
  41      3.98        3.00       0.00       0.000        0
  42      2.00        2.00       0.00       0.333        0
  43      2.50        2.00       0.00       0.000        0
  44      2.90        2.00       0.00       0.000        0
  45      3.24        2.00       0.00       0.000        0
  46      3.55        3.00       0.00       0.000        0
  47      3.83        3.00       0.00       0.000        0
  48      4.10        3.00       0.00       0.000        0
  49      4.34        4.00       0.00       0.000        0
  50      4.57        4.00       0.00       0.000        0
  51      4.79        4.00       0.00       0.000        0
  52      5.00        4.00       0.00       0.000        0
  53      5.20        4.00       0.00       0.000        0
  54      5.39        5.00       0.00       0.000        0
  55      5.58        5.00       0.00       0.000        0
  56      5.75        5.00       0.00       0.000        0
  57      5.93        5.00       0.00       0.000        0
  58      6.10        5.00       0.00       0.000        0
  59      6.26        6.00       0.00       0.000        0
  60      6.42        6.00       0.00       0.000        0
  61      6.58        6.00       0.00       0.000        0
  62      6.73        6.00       0.00       0.000        0
  63      6.88        6.00       0.00       0.000        0
  64      7.02        6.00       0.00       0.000        0
  65      7.17        7.00       0.00       0.000        0
  66      7.30        7.00       0.00       0.000        0
  67      7.44        7.00       0.00       0.000        0
  68      3.72        6.00       0.00       0.143        0
  69      3.99        3.00       0.00       0.000        0
  70      4.24        3.00       0.00       0.000        0
  71      4.48        4.00       0.00       0.000        0
  72      4.70        4.00       0.00       0.000        0
  73      4.91        4.00       0.00       0.000        0
  74      5.12        4.00       0.00       0.000        0
  75      5.31        5.00       0.00       0.000        0
  76      5.50        5.00       0.00       0.000        0
  77      5.68        5.00       0.00       0.000        0
  78      5.86        5.00       0.00       0.000        0
  79      6.03        5.00       0.00       0.000        0
  80      6.19        6.00       0.00       0.000        0
  81      6.36        6.00       0.00       0.000        0
  82      6.51        6.00       0.00       0.000        0
  83      6.67        6.00       0.00       0.000        0
  84      6.82        6.00       0.00       0.000        0
  85      6.96        6.00       0.00       0.000        0
  86      7.11        6.00       0.00       0.000        0
  87      7.25        7.00       0.00       0.000        0
  88      7.39        7.00       0.00       0.000        0
  89      7.52        7.00       0.00       0.000        0
  90      3.76        6.00       0.00       0.143        0
  91      4.03        3.00       0.00       0.000        0
  92      2.01        3.00       0.00       0.250        0
  93      2.51        2.00       0.00       0.000        0
