=== CUBIC Simulation Log ===
Timestamp : 2026-05-29 16:51:01.244156
Base Seed : 90534
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1     10.40       10.00       0.00       0.000        0
   2     13.20       10.00       0.00       0.000        0
   3      9.24       12.00       0.00       0.077        0
   4     13.60        9.00       0.00       0.000        0
   5     16.40       13.00       0.00       0.000        0
   6     11.48       15.00       0.00       0.062        0
   7      8.04       10.00       0.00       0.091        0
   8      5.63        7.00       0.00       0.125        0
   9      8.44        5.00       0.00       0.000        0
  10     11.24        8.00       0.00       0.000        0
  11     18.84       11.00       0.00       0.000        0
  12     33.64       18.00       0.00       0.000        0
  13     58.04       12.00       0.00       0.000       21
  14     94.44       12.00       1.00       0.000       67
  15    145.24       10.00       1.00       0.000      151
  16    101.67       12.00       2.00       0.014      282
  17     71.17       14.00       3.00       0.822      286
  18     49.82       14.00       4.00       0.803      286
  19     34.87       20.00       4.00       0.714      280
  20     24.41       20.00       5.00       0.412      280
  21     17.09       15.00       6.00       0.208      284
  22     11.96       13.00       7.00       0.235      284
  23      8.37       15.00       8.00       0.091      279
  24     12.36       10.00       9.00       0.000      277
  25      8.65        9.00      10.00       0.083      279
  26     12.76       12.00      10.00       0.000      275
  27     15.56       12.00      11.00       0.000      275
  28     10.89       11.00      12.00       0.067      278
  29     15.96       15.00      13.00       0.000      273
  30     18.76       17.00      14.00       0.000      271
  31     13.13       12.00      15.00       0.111      275
  32      9.19       15.00      16.00       0.077      272
  33      6.43       15.00      17.00       0.111      265
  34      9.59       14.00      18.00       0.000      257
  35     12.39       12.00      19.00       0.000      254
  36     19.99       15.00      19.00       0.000      251
  37     34.79       13.00      19.00       0.000      257
  38     59.19       13.00      19.00       0.000      278
  39     41.43       13.00      19.00       0.627      287
  40     29.00       13.00      20.00       0.683      287
  41     20.30       10.00      20.00       0.552      290
  42     14.21       10.00      21.00       0.500      290
  43      9.95       10.00      21.00       0.286      290
  44     14.61       13.00      21.00       0.000      286
  45     10.23       11.00      21.00       0.071      288
  46     15.01       12.00      21.00       0.000      286
  47     10.51       11.00      21.00       0.133      288
  48     15.41       13.00      21.00       0.000      285
  49     18.21       10.00      21.00       0.000      290
  50     12.75       16.00      20.00       0.444      284
  51      8.92       16.00      20.00       0.083      279
  52     13.15       22.00      20.00       0.000      265
  53      9.20       20.00      19.00       0.077      257
  54      6.44       20.00      18.00       0.111      245
  55      9.60       16.00      18.00       0.000      235
  56     12.40       15.00      18.00       0.000      229
  57     20.00       10.00      19.00       0.000      231
  58     34.80       10.00      20.00       0.000      241
  59     59.20       10.00      20.00       0.000      265
  60     41.44       12.00      21.00       0.407      288
  61     29.01       11.00      21.00       0.732      288
  62     20.31       12.00      21.00       0.586      288
  63     14.21       12.00      21.00       0.400      288
  64      9.95       12.00      21.00       0.143      288
  65      6.97        9.00      20.00       0.111      287
  66      4.88       12.00      21.00       0.167      280
  67      7.37       14.00      20.00       0.000      270
  68     10.17       13.00      20.00       0.000      264
  69     17.77       13.00      20.00       0.000      261
  70     32.57       13.00      20.00       0.000      265
  71     56.97       15.00      20.00       0.000      282
  72     39.88       18.00      19.00       0.679      282
  73     27.91       17.00      18.00       0.564      282
  74     19.54       23.00      16.00       0.407      275
  75     13.68       24.00      16.00       0.053      269
  76     19.94       21.00      17.00       0.000      261
  77     22.74       17.00      17.00       0.000      263
  78     15.92       16.00      18.00       0.045      268
  79     23.14       10.00      18.00       0.000      273
  80     25.94       10.00      19.00       0.000      286
  81     18.16        9.00      19.00       0.480      290
  82     12.71        9.00      19.00       0.500      290
  83      8.90       10.00      19.00       0.167      290
  84     13.11       12.00      19.00       0.000      286
  85      9.18       11.00      18.00       0.077      287
  86     13.51       12.00      17.00       0.000      284
  87     16.31       12.00      17.00       0.000      285
  88     11.42       16.00      17.00       0.062      284
  89     16.71       14.00      18.00       0.000      281
  90     19.51       14.00      18.00       0.000      283
  91     13.66       14.00      19.00       0.105      286
  92      9.56       13.00      19.00       0.077      285
  93     14.06       13.00      19.00       0.000      281
  94     16.86       16.00      19.00       0.000      279
  95     24.46       20.00      19.00       0.000      275
  96     39.26       20.00      19.00       0.000      279
  97     27.48       19.00      19.00       0.487      280
  98     19.24       15.00      19.00       0.296      284
  99     13.47       13.00      19.00       0.211      286
 100      9.43        8.00      20.00       0.154      289
 101     13.87       10.00      20.00       0.000      288
 102      9.71       10.00      21.00       0.077      290
 103     14.27       13.00      20.00       0.000      286
 104     17.07       15.00      20.00       0.000      285
 105     11.95       19.00      19.00       0.294      278
 106      8.36       29.00      17.00       0.091      259
 107      5.85       29.00      16.00       0.125      237
 108      4.10       31.00      15.00       0.200      210
 109      6.25       29.00      14.00       0.000      185
 110      9.05       23.00      14.00       0.000      168
 111      6.34       14.00      14.00       0.111      162
 112      9.45       15.00      14.00       0.000      153
 113     12.25       14.00      15.00       0.000      148
 114     19.85       14.00      15.00       0.000      146
 115     13.90       13.00      15.00       0.053      151
 116     20.25       17.00      14.00       0.000      147
 117     23.05       17.00      13.00       0.000      150
 118     16.14       10.00      14.00       0.130      160
 119     23.45       13.00      14.00       0.000      163
 120     16.42       12.00      14.00       0.043      173
 121     23.85       10.00      13.00       0.000      179
 122     26.65       18.00      11.00       0.000      184
 123     34.25       18.00      10.00       0.000      192
 124     49.05       18.00       9.00       0.000      208
 125     73.45       18.00       9.00       0.000      239
 126     51.42       18.00       9.00       0.164      282
 127     35.99       10.00      10.00       0.647      290
 128     25.19        9.00      10.00       0.743      290
 129     17.64       10.00      11.00       0.600      290
 130     12.35       10.00      11.00       0.412      290
 131      8.64       15.00      11.00       0.167      285
 132     12.75       15.00      12.00       0.000      278
 133     15.55       15.00      12.00       0.000      275
 134     23.15       19.00      12.00       0.000      271
 135     37.95       23.00      12.00       0.000      271
 136     26.56       19.00      12.00       0.243      280
 137     18.59       20.00      13.00       0.231      280
 138     26.96       20.00      13.00       0.000      278
 139     18.87       18.00      14.00       0.154      282
 140     13.21       13.00      15.00       0.056      286
 141     19.27       15.00      15.00       0.000      284
 142     13.49       16.00      16.00       0.158      284
 143      9.44       15.00      17.00       0.077      281
 144     13.89       17.00      17.00       0.000      273
 145      9.72       15.00      18.00       0.154      269
 146     14.29       16.00      17.00       0.000      262
 147     17.09       16.00      16.00       0.000      260
 148     24.69       16.00      16.00       0.000      261
 149     39.49       12.00      16.00       0.000      273
 150     27.64       18.00      15.00       0.333      281
