=== DDPG Simulation Log ===
Timestamp : 2026-05-29 16:23:52.284546
Base Seed : 61182
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1      7.68        7.00       0.00       0.000        0
   2     13.33       13.00       0.00       0.000        0
   3     17.56       17.00       0.00       0.000        0
   4     20.13       20.00       0.00       0.000        0
   5     22.09       22.00       0.00       0.000        0
   6     23.33       22.00       0.00       0.043        0
   7     23.72       13.00       0.00       0.087        8
   8     14.78       18.00       0.00       0.000        4
   9     20.39       16.00       0.00       0.000        8
  10     17.14       13.00       0.00       0.000       12
  11     13.73       13.00       0.00       0.000       12
  12     14.18       17.00       0.00       0.071        8
  13     19.54       15.00       0.00       0.000       12
  14     15.31       15.00       0.00       0.000       12
  15     15.94       14.00       0.00       0.133       11
  16     16.90       19.00       0.00       0.000        8
  17     19.99       13.00       0.00       0.000       14
  18     12.85       18.00       0.00       0.000        8
  19     19.70       18.00       0.00       0.000        9
  20     18.53       21.00       0.00       0.056        5
  21     22.55       18.00       0.00       0.091        7
  22     19.49       22.00       0.00       0.000        4
  23     22.77       15.00       0.00       0.091        9
  24     16.54       21.00       0.00       0.000        4
  25     22.32       17.00       0.00       0.000        9
  26     17.34       21.00       0.00       0.000        5
  27     22.01       24.00       0.00       0.000        3
  28     24.14       24.00       0.00       0.000        3
  29     23.87       25.00       0.00       0.043        0
  30     25.79       25.00       0.00       0.000        0
  31     25.09       23.00       0.00       0.080        0
  32     24.69       24.00       0.00       0.000        0
  33     24.49       23.00       0.00       0.042        0
  34     24.31       20.00       0.00       0.042        3
  35     21.25       21.00       0.00       0.095        1
  36     23.58       14.00       0.00       0.043        9
  37     15.04       15.00       0.00       0.000        9
  38     16.87       16.00       0.00       0.000        9
  39     17.42       20.00       0.00       0.059        5
  40     21.93       18.00       0.00       0.000        8
  41     18.39       25.00       0.00       0.000        1
  42     25.67       25.00       0.00       0.000        1
  43     24.88       24.00       0.00       0.000        1
  44     24.24       20.00       0.00       0.000        5
  45     20.34       18.00       0.00       0.050        6
  46     19.63       11.00       0.00       0.000       14
  47     11.11       16.00       0.00       0.091        8
  48     19.33       17.00       0.00       0.000       10
  49     17.62       19.00       0.00       0.000        8
  50     19.88       17.00       0.00       0.000       10
  51     17.54       20.00       0.00       0.059        6
  52     21.68       15.00       0.00       0.000       12
  53     14.98       20.00       0.00       0.071        5
  54     22.33       19.00       0.00       0.000        8
  55     19.14       19.00       0.00       0.000        8
  56     19.62       16.00       0.00       0.000       11
  57     16.61       21.00       0.00       0.000        6
  58     21.87       15.00       0.00       0.000       12
  59     14.95       15.00       0.00       0.000       11
  60     16.29       15.00       0.00       0.000       12
  61     15.81       15.00       0.00       0.000       12
  62     15.87       10.00       1.00       0.000       17
  63      9.27       10.00       1.00       0.000       16
  64     10.58       10.00       1.00       0.000       16
  65     10.33       14.00       1.00       0.000       12
  66     15.11       13.00       0.00       0.067       13
  67     14.54       18.00       0.00       0.000        9
  68     19.29       18.00       0.00       0.000       10
  69     18.37       23.00       0.00       0.000        5
  70     23.41       25.00       0.00       0.043        2
  71     25.54       26.00       0.00       0.040        0
  72     26.22       26.00       0.00       0.000        0
  73     25.76       23.00       0.00       0.080        0
  74     24.60       23.00       0.00       0.042        0
  75     24.30       23.00       0.00       0.042        0
  76     24.34       21.00       0.00       0.000        3
  77     21.56       21.00       0.00       0.000        3
  78     22.02       14.00       0.00       0.000       11
  79     14.24       10.00       1.00       0.000       15
  80     10.01       10.00       1.00       0.000       15
  81     10.71        9.00       1.00       0.100       15
  82     10.54       10.00       1.00       0.000       15
  83     10.61       15.00       1.00       0.000       10
  84     16.64       17.00       0.00       0.000        9
  85     18.22       17.00       0.00       0.000       10
  86     17.78       18.00       0.00       0.059        8
  87     19.69       19.00       0.00       0.000        8
  88     19.52       13.00       0.00       0.000       14
  89     12.91       12.00       1.00       0.000       14
  90     12.37       13.00       1.00       0.083       12
  91     14.85       14.00       0.00       0.000       12
  92     15.00       13.00       0.00       0.067       13
  93     14.55       14.00       0.00       0.000       13
  94     14.76       15.00       0.00       0.071       11
  95     17.21       18.00       0.00       0.000       10
  96     18.69       16.00       0.00       0.000       12
  97     16.49       16.00       0.00       0.000       12
  98     16.82       16.00       0.00       0.000       12
  99     16.78       13.00       0.00       0.000       15
