=== DDPG Simulation Log ===
Timestamp : 2026-05-27 12:40:06.897901
Base Seed : 83147
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1      7.73        7.00       0.00       0.000        0
   2     11.88        8.00       0.00       0.182        1
   3     13.50       14.00       0.00       0.000        0
   4     16.10       13.00       0.00       0.000        3
   5     13.98       15.00       0.00       0.000        1
   6     16.53       15.00       0.00       0.000        2
   7     15.89       16.00       0.00       0.000        1
   8     17.09       13.00       0.00       0.000        5
   9     13.22       17.00       0.00       0.000        1
  10     18.15       14.00       0.00       0.000        5
  11     13.84       14.00       0.00       0.000        4
  12     14.84       12.00       0.00       0.071        5
  13     13.56       13.00       0.00       0.000        5
  14     13.76       10.00       0.00       0.000        8
  15     10.53       10.00       0.00       0.000        8
  16     11.11        9.00       0.00       0.091        9
  17     10.91        9.00       0.00       0.100        9
  18     11.03       10.00       0.00       0.091        9
  19     11.62       11.00       0.00       0.000        9
  20     11.28       10.00       0.00       0.091        9
  21     11.58       13.00       0.00       0.000        7
  22     13.45       13.00       0.00       0.000        7
  23     13.17       12.00       0.00       0.000        8
  24     12.08       17.00       0.00       0.000        3
  25     17.73       20.00       0.00       0.000        0
  26     19.86       18.00       0.00       0.000        1
  27     17.97       18.00       0.00       0.000        0
  28     18.54       18.00       0.00       0.000        0
  29     18.45       14.00       0.00       0.056        3
  30     15.05       12.00       0.00       0.000        6
  31     12.41       13.00       0.00       0.000        5
  32     13.92       13.00       0.00       0.000        5
  33     13.70       13.00       0.00       0.000        5
  34     13.74       16.00       0.00       0.000        2
  35     17.05       16.00       0.00       0.000        3
  36     16.29       15.00       0.00       0.000        4
  37     15.28       15.00       0.00       0.000        4
  38     15.45       15.00       0.00       0.000        4
  39     15.42        9.00       0.00       0.067        9
  40      9.96       14.00       0.00       0.111        3
  41     16.85       16.00       0.00       0.000        3
  42     16.32       18.00       0.00       0.062        0
  43     19.41       19.00       0.00       0.000        0
  44     19.00       18.00       0.00       0.000        0
  45     18.38       18.00       0.00       0.000        0
  46     18.48       18.00       0.00       0.000        0
  47     18.46       18.00       0.00       0.000        0
  48     18.47       18.00       0.00       0.000        0
  49     18.47       18.00       0.00       0.000        0
  50     18.47       16.00       0.00       0.111        0
  51     18.20       17.00       0.00       0.056        0
  52     18.38       18.00       0.00       0.000        0
  53     18.48       17.00       0.00       0.056        0
  54     18.34       17.00       0.00       0.056        0
  55     18.36       17.00       0.00       0.056        0
  56     18.36       17.00       0.00       0.056        0
  57     18.36       17.00       0.00       0.000        1
  58     17.52       18.00       0.00       0.000        0
  59     18.60       18.00       0.00       0.000        0
  60     18.44       17.00       0.00       0.056        0
  61     18.35       18.00       0.00       0.000        0
  62     18.49       17.00       0.00       0.056        0
  63     18.34       16.00       0.00       0.056        1
  64     17.36       11.00       0.00       0.000        7
  65     10.97       11.00       0.00       0.000        6
  66     12.35       14.00       0.00       0.000        4
  67     15.06       19.00       0.00       0.000        0
  68     19.55       17.00       0.00       0.000        2
  69     17.02       19.00       0.00       0.000        0
  70     19.32       19.00       0.00       0.000        0
  71     19.01       19.00       0.00       0.000        0
  72     19.05       18.00       0.00       0.000        1
  73     18.10       18.00       0.00       0.056        0
  74     19.07       18.00       0.00       0.053        0
  75     18.92       16.00       0.00       0.000        2
  76     16.32       16.00       0.00       0.125        0
  77     18.72       17.00       0.00       0.056        0
  78     18.30       17.00       0.00       0.000        1
  79     17.53       17.00       0.00       0.059        0
  80     18.52       17.00       0.00       0.056        0
  81     18.33       18.00       0.00       0.000        0
  82     18.49       17.00       0.00       0.056        0
  83     18.34       17.00       0.00       0.056        0
  84     18.36       18.00       0.00       0.000        0
  85     18.48       17.00       0.00       0.056        0
  86     18.34       18.00       0.00       0.000        0
  87     18.49       18.00       0.00       0.000        0
  88     18.46       17.00       0.00       0.000        1
  89     17.50       16.00       0.00       0.059        1
  90     17.53       14.00       0.00       0.000        4
  91     14.24       16.00       0.00       0.000        2
  92     16.99       16.00       0.00       0.000        2
  93     16.61       13.00       0.00       0.000        5
  94     13.29       13.00       0.00       0.000        5
  95     13.80       17.00       0.00       0.000        1
  96     18.09       14.00       0.00       0.000        5
  97     13.84       18.00       0.00       0.000        0
  98     19.00       17.00       0.00       0.000        1
  99     17.42       17.00       0.00       0.000        1
 100     17.67       16.00       0.00       0.000        2
 101     16.51       14.00       0.00       0.062        3
 102     15.47       13.00       0.00       0.133        3
 103     15.73       15.00       0.00       0.000        3
 104     15.70       18.00       0.00       0.000        0
 105     18.81       18.00       0.00       0.000        0
 106     18.41       18.00       0.00       0.000        0
 107     18.48       15.00       0.00       0.000        3
 108     15.25       14.00       0.00       0.067        3
 109     15.72       10.00       0.00       0.000        8
 110     10.25       10.00       0.00       0.000        8
 111     11.16        8.00       0.00       0.182        9
 112     11.11       16.00       0.00       0.000        4
 113     16.73       16.00       0.00       0.000        4
 114     16.03       16.00       0.00       0.000        4
 115     16.13       16.00       0.00       0.000        4
 116     16.12       20.00       0.00       0.000        0
 117     20.09       13.00       0.00       0.050        6
 118     12.97       14.00       0.00       0.000        4
 119     14.97       18.00       0.00       0.000        0
 120     18.88       18.00       0.00       0.000        0
 121     18.40       18.00       0.00       0.000        0
 122     18.48       18.00       0.00       0.000        0
 123     18.46       18.00       0.00       0.000        0
 124     18.47       18.00       0.00       0.000        0
 125     18.47       15.00       0.00       0.056        2
 126     16.22       14.00       0.00       0.000        4
 127     14.45       12.00       0.00       0.000        6
 128     12.52       18.00       0.00       0.000        0
 129     19.11       14.00       0.00       0.053        4
 130     14.58       16.00       0.00       0.000        2
 131     16.95       16.00       0.00       0.000        2
 132     16.61       16.00       0.00       0.000        2
 133     16.66       10.00       0.00       0.000        8
 134     10.11       10.00       0.00       0.100        7
 135     12.51       11.00       0.00       0.000        8
 136     11.43       11.00       0.00       0.273        5
 137     15.65       14.00       0.00       0.000        6
 138     13.91       13.00       0.00       0.077        5
 139     14.56       12.00       0.00       0.000        7
 140     12.17       18.00       0.00       0.000        1
 141     18.89       15.00       0.00       0.000        4
 142     14.85       14.00       0.00       0.071        3
 143     15.83       15.00       0.00       0.000        3
 144     15.69       16.00       0.00       0.000        2
 145     16.80        9.00       0.00       0.125        7
 146     10.83       11.00       0.00       0.000        6
 147     12.38       18.00       0.00       0.000        0
 148     19.12       19.00       0.00       0.000        0
 149     19.04       18.00       0.00       0.053        0
 150     18.92       18.00       0.00       0.000        0
