=== RENO Simulation Log ===
Timestamp : 2026-05-28 20:33:34.658972
Base Seed : 51251
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1      5.00        9.00       0.00       0.100        0
   2      5.20        5.00       0.00       0.000        0
   3      5.39        5.00       0.00       0.000        0
   4      5.58        5.00       0.00       0.000        0
   5      5.76        5.00       0.00       0.000        0
   6      5.93        5.00       0.00       0.000        0
   7      6.10        5.00       0.00       0.000        0
   8      6.26        6.00       0.00       0.000        0
   9      6.42        6.00       0.00       0.000        0
  10      3.21        5.00       0.00       0.167        0
  11      3.52        3.00       0.00       0.000        0
  12      3.81        3.00       0.00       0.000        0
  13      4.07        3.00       0.00       0.000        0
  14      2.03        3.00       0.00       0.250        0
  15      2.53        2.00       0.00       0.000        0
  16      2.92        2.00       0.00       0.000        0
  17      3.26        2.00       0.00       0.000        0
  18      3.57        3.00       0.00       0.000        0
  19      3.85        3.00       0.00       0.000        0
  20      4.11        3.00       0.00       0.000        0
  21      4.35        4.00       0.00       0.000        0
  22      4.58        4.00       0.00       0.000        0
  23      4.80        4.00       0.00       0.000        0
  24      5.01        4.00       0.00       0.000        0
  25      5.21        5.00       0.00       0.000        0
  26      5.40        5.00       0.00       0.000        0
  27      5.59        5.00       0.00       0.000        0
  28      5.77        5.00       0.00       0.000        0
  29      5.94        5.00       0.00       0.000        0
  30      6.11        5.00       0.00       0.000        0
  31      6.27        6.00       0.00       0.000        0
  32      6.43        6.00       0.00       0.000        0
  33      3.22        5.00       0.00       0.167        0
  34      3.53        3.00       0.00       0.000        0
  35      3.81        3.00       0.00       0.000        0
  36      4.07        3.00       0.00       0.000        0
  37      4.32        4.00       0.00       0.000        0
  38      4.55        4.00       0.00       0.000        0
  39      4.77        4.00       0.00       0.000        0
  40      4.98        4.00       0.00       0.000        0
  41      5.18        4.00       0.00       0.000        0
  42      5.37        5.00       0.00       0.000        0
  43      5.56        5.00       0.00       0.000        0
  44      5.74        5.00       0.00       0.000        0
  45      5.91        5.00       0.00       0.000        0
  46      6.08        5.00       0.00       0.000        0
  47      6.25        6.00       0.00       0.000        0
  48      6.41        6.00       0.00       0.000        0
  49      6.56        6.00       0.00       0.000        0
  50      6.72        6.00       0.00       0.000        0
  51      3.36        5.00       0.00       0.167        0
  52      3.66        3.00       0.00       0.000        0
  53      3.93        3.00       0.00       0.000        0
  54      4.18        3.00       0.00       0.000        0
  55      4.42        4.00       0.00       0.000        0
  56      4.65        4.00       0.00       0.000        0
  57      4.86        4.00       0.00       0.000        0
  58      5.07        4.00       0.00       0.000        0
  59      5.27        5.00       0.00       0.000        0
  60      5.46        5.00       0.00       0.000        0
  61      5.64        5.00       0.00       0.000        0
  62      5.82        5.00       0.00       0.000        0
  63      5.99        5.00       0.00       0.000        0
  64      6.16        5.00       0.00       0.000        0
  65      6.32        6.00       0.00       0.000        0
  66      6.48        6.00       0.00       0.000        0
  67      6.63        6.00       0.00       0.000        0
  68      3.32        5.00       0.00       0.167        0
  69      3.62        3.00       0.00       0.000        0
  70      3.89        3.00       0.00       0.000        0
  71      4.15        3.00       0.00       0.000        0
  72      4.39        4.00       0.00       0.000        0
  73      4.62        4.00       0.00       0.000        0
  74      4.84        4.00       0.00       0.000        0
  75      5.04        4.00       0.00       0.000        0
  76      5.24        5.00       0.00       0.000        0
  77      2.62        4.00       0.00       0.200        0
  78      3.00        2.00       0.00       0.000        0
  79      3.34        3.00       0.00       0.000        0
  80      3.63        3.00       0.00       0.000        0
  81      3.91        3.00       0.00       0.000        0
  82      4.17        3.00       0.00       0.000        0
  83      2.08        3.00       0.00       0.250        0
  84      2.56        2.00       0.00       0.000        0
  85      2.95        2.00       0.00       0.000        0
  86      3.29        2.00       0.00       0.000        0
  87      3.60        3.00       0.00       0.000        0
  88      3.87        3.00       0.00       0.000        0
  89      4.13        3.00       0.00       0.000        0
  90      4.37        4.00       0.00       0.000        0
  91      4.60        4.00       0.00       0.000        0
  92      4.82        4.00       0.00       0.000        0
  93      5.03        4.00       0.00       0.000        0
