=== CUBIC Simulation Log ===
Timestamp : 2026-05-29 16:26:15.218213
Base Seed : 98772
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1      7.00        9.00       0.00       0.100        0
   2      4.90        6.00       0.00       0.143        0
   3      7.40        4.00       0.00       0.000        0
   4     10.20        7.00       0.00       0.000        0
   5      7.14        9.00       0.00       0.100        0
   6     10.60        7.00       0.00       0.000        0
   7     13.40       10.00       0.00       0.000        0
   8     21.00       13.00       0.00       0.000        0
   9     35.80       21.00       0.00       0.000        0
  10     25.06       26.00       0.00       0.029        8
  11     36.20       22.00       0.00       0.000       11
  12     39.00       23.00       0.00       0.000       24
  13     46.60       15.00       1.00       0.000       48
  14     61.40       19.00       1.00       0.000       75
  15     85.80       17.00       2.00       0.000      119
  16    122.20       18.00       2.00       0.000      186
  17     85.54       18.00       3.00       0.066      282
  18     59.88       17.00       4.00       0.800      282
  19     41.91       14.00       4.00       0.695      286
  20     29.34       10.00       5.00       0.683      289
  21     20.54       10.00       6.00       0.621      290
  22     14.38       10.00       7.00       0.500      290
  23     10.06       10.00       8.00       0.286      290
  24     14.78       10.00       9.00       0.000      290
  25     10.34       10.00       9.00       0.286      290
  26     15.18       10.00      10.00       0.000      290
  27     10.62       10.00      11.00       0.333      290
  28     15.58       10.00      12.00       0.000      290
  29     10.90       11.00      13.00       0.333      289
  30     15.98       11.00      14.00       0.000      288
  31     11.18       10.00      15.00       0.267      289
  32     16.38       11.00      16.00       0.000      289
  33     11.46       11.00      16.00       0.312      289
  34     16.78       10.00      17.00       0.000      290
  35     11.74       16.00      18.00       0.375      284
  36     17.18       16.00      19.00       0.000      279
  37     19.98       16.00      20.00       0.000      280
  38     27.58       19.00      21.00       0.000      280
  39     19.30       19.00      22.00       0.259      281
  40     27.98       17.00      22.00       0.000      283
  41     19.58       17.00      22.00       0.370      283
  42     13.71       16.00      22.00       0.158      283
  43     19.98       14.00      22.00       0.000      282
  44     13.99       17.00      21.00       0.053      283
  45     20.38       13.00      21.00       0.000      283
  46     14.27       13.00      21.00       0.150      287
  47      9.99       13.00      20.00       0.071      287
  48     14.67       18.00      20.00       0.000      278
  49     10.27       14.00      19.00       0.071      277
  50     15.07       16.00      19.00       0.000      271
  51     17.87       23.00      18.00       0.000      263
  52     25.47       25.00      16.00       0.000      255
  53     40.27       22.00      16.00       0.000      258
  54     64.67       21.00      16.00       0.000      277
  55     45.27       20.00      16.00       0.641      280
  56     31.69       13.00      16.00       0.600      285
  57     22.18       13.00      16.00       0.516      287
  58     15.53       11.00      16.00       0.455      288
  59     10.87       12.00      17.00       0.200      288
  60     15.93       12.00      17.00       0.000      286
  61     11.15       10.00      17.00       0.067      290
  62      7.80       13.00      17.00       0.091      287
  63     11.55       14.00      17.00       0.000      280
  64      8.08       13.00      17.00       0.091      277
  65     11.95       14.00      17.00       0.000      271
  66      8.36       12.00      17.00       0.182      268
  67     12.35       14.00      17.00       0.000      262
  68     15.15       13.00      17.00       0.000      261
  69     22.75       18.00      17.00       0.000      258
  70     15.92       16.00      17.00       0.091      262
  71     23.15       19.00      17.00       0.000      258
  72     25.95       16.00      18.00       0.000      265
  73     33.55       16.00      19.00       0.000      274
  74     23.48       17.00      19.00       0.212      283
  75     16.44       17.00      19.00       0.261      283
  76     23.88       16.00      19.00       0.000      283
  77     16.72       16.00      19.00       0.261      284
  78     24.28       16.00      19.00       0.000      284
  79     17.00       11.00      19.00       0.333      289
  80     11.90       11.00      19.00       0.312      289
  81     17.40       11.00      19.00       0.000      289
  82     12.18       11.00      18.00       0.353      289
  83      8.53       11.00      18.00       0.083      289
  84     12.58       10.00      18.00       0.000      287
  85     15.38       10.00      18.00       0.000      289
  86     10.77       10.00      18.00       0.267      290
  87     15.78       15.00      18.00       0.000      285
  88     18.58       15.00      18.00       0.000      285
  89     13.01       13.00      18.00       0.278      285
  90      9.10       14.00      18.00       0.077      283
  91     13.41       15.00      19.00       0.000      277
  92     16.21       12.00      19.00       0.000      278
  93     11.34       11.00      20.00       0.062      282
  94     16.61       12.00      20.00       0.000      281
  95     19.41       12.00      21.00       0.000      285
  96     13.58       11.00      21.00       0.263      288
  97      9.51       13.00      22.00       0.077      287
  98     13.98       13.00      22.00       0.000      283
  99     16.78       13.00      22.00       0.000      283
 100     24.38       15.00      22.00       0.000      284
 101     17.07       14.00      22.00       0.375      285
 102     11.95       19.00      22.00       0.118      281
 103      8.36       25.00      21.00       0.091      266
 104     12.35       27.00      19.00       0.000      247
 105     15.15       26.00      17.00       0.000      233
 106     10.60       31.00      16.00       0.067      216
 107      7.42       29.00      15.00       0.200      195
 108     11.00       27.00      14.00       0.000      175
 109      7.70       31.00      12.00       0.091      154
 110      5.39       31.00      10.00       0.429      127
 111      8.10       28.00      10.00       0.000      104
 112     10.90       21.00       9.00       0.000       91
 113     18.50       22.00       8.00       0.000       79
 114     33.30       19.00       8.00       0.000       78
 115     57.70       17.00       7.00       0.000       94
 116     40.39       16.00       6.00       0.018      134
 117     28.27       19.00       4.00       0.025      154
 118     40.79       15.00       4.00       0.000      167
 119     43.59       13.00       4.00       0.000      194
 120     30.51       11.00       5.00       0.047      224
 121     43.99       13.00       6.00       0.000      241
 122     46.79       18.00       6.00       0.000      266
 123     32.75       15.00       7.00       0.326      282
 124     22.93       22.00       8.00       0.438      278
 125     33.15       22.00       8.00       0.000      278
 126     23.21       22.00       8.00       0.333      278
 127     16.25       14.00       9.00       0.043      286
 128     11.37       17.00       9.00       0.125      283
 129     16.65       13.00      10.00       0.000      281
 130     11.65       11.00      11.00       0.125      284
 131     17.05       13.00      11.00       0.000      282
 132     19.85       13.00      12.00       0.000      286
 133     13.89       12.00      13.00       0.263      288
 134      9.72       15.00      13.00       0.077      285
 135     14.29       17.00      14.00       0.000      277
 136     17.09       17.00      14.00       0.000      274
 137     11.96       16.00      15.00       0.059      274
 138     17.49       21.00      16.00       0.000      264
 139     12.24       17.00      16.00       0.059      263
 140     17.89       16.00      17.00       0.000      259
 141     20.69       17.00      17.00       0.000      259
 142     28.29       17.00      17.00       0.000      262
 143     43.09       12.00      17.00       0.000      278
 144     30.16       12.00      18.00       0.488      288
 145     21.12       17.00      18.00       0.600      283
 146     14.78       16.00      18.00       0.190      284
 147     21.52       20.00      17.00       0.000      278
 148     24.32       19.00      17.00       0.000      280
 149     17.02       25.00      16.00       0.167      275
 150     11.91       27.00      15.00       0.059      264
