=== DQN_NO_AOI Simulation Log ===
Timestamp : 2026-05-29 16:30:46.052813
Base Seed : 60284
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1      7.00        7.00       0.00       0.000        0
   2      7.00        7.00       0.00       0.000        0
   3      8.40        8.00       0.00       0.000        0
   4      8.40        8.00       0.00       0.000        0
   5      8.40        8.00       0.00       0.000        0
   6     10.08       10.00       0.00       0.000        0
   7     10.08        9.00       0.00       0.100        0
   8      7.06        7.00       0.00       0.000        0
   9      7.06        6.00       0.00       0.143        0
  10      7.06        7.00       0.00       0.000        0
  11      8.47        7.00       0.00       0.125        0
  12     10.16       10.00       0.00       0.000        0
  13     12.19       12.00       0.00       0.000        0
  14      8.53        7.00       0.00       0.125        0
  15     10.24        9.00       0.00       0.100        0
  16     12.29       12.00       0.00       0.000        0
  17     14.75       14.00       0.00       0.000        0
  18     10.32        9.00       0.00       0.100        0
  19     10.32        9.00       0.00       0.100        0
  20      7.23        7.00       0.00       0.000        0
  21      8.67        8.00       0.00       0.000        0
  22      8.67        7.00       0.00       0.125        0
  23      8.67        7.00       0.00       0.125        0
  24     10.41       10.00       0.00       0.000        0
  25     10.41       10.00       0.00       0.000        0
  26      7.28        7.00       0.00       0.000        0
  27      8.74        8.00       0.00       0.000        0
  28      6.12        6.00       0.00       0.000        0
  29      6.12        5.00       0.00       0.167        0
  30      4.28        4.00       0.00       0.000        0
  31      5.14        5.00       0.00       0.000        0
  32      3.60        3.00       0.00       0.000        0
  33      4.32        4.00       0.00       0.000        0
  34      5.18        5.00       0.00       0.000        0
  35      5.18        5.00       0.00       0.000        0
  36      6.22        6.00       0.00       0.000        0
  37      4.35        4.00       0.00       0.000        0
  38      4.35        4.00       0.00       0.000        0
  39      4.35        4.00       0.00       0.000        0
  40      3.05        3.00       0.00       0.000        0
  41      3.05        3.00       0.00       0.000        0
  42      3.66        3.00       0.00       0.000        0
  43      4.39        3.00       0.00       0.250        0
  44      4.39        4.00       0.00       0.000        0
  45      3.07        2.00       0.00       0.333        0
  46      2.15        2.00       0.00       0.000        0
  47      2.58        2.00       0.00       0.000        0
  48      3.10        3.00       0.00       0.000        0
  49      2.17        2.00       0.00       0.000        0
  50      1.52        1.00       0.00       0.000        0
  51      1.06        1.00       0.00       0.000        0
  52      1.06        1.00       0.00       0.000        0
  53      1.27        1.00       0.00       0.000        0
  54      1.27        1.00       0.00       0.000        0
  55      1.00        1.00       0.00       0.000        0
  56      1.00        1.00       0.00       0.000        0
  57      1.20        1.00       0.00       0.000        0
  58      1.20        1.00       0.00       0.000        0
  59      1.00        1.00       0.00       0.000        0
  60      1.20        1.00       0.00       0.000        0
  61      1.44        1.00       0.00       0.000        0
  62      1.01        1.00       0.00       0.000        0
  63      1.21        1.00       0.00       0.000        0
  64      1.21        1.00       0.00       0.000        0
  65      1.45        1.00       0.00       0.000        0
  66      1.02        1.00       0.00       0.000        0
  67      1.02        1.00       0.00       0.000        0
  68      1.22        1.00       0.00       0.000        0
  69      1.00        1.00       0.00       0.000        0
  70      1.20        1.00       0.00       0.000        0
  71      1.44        1.00       0.00       0.000        0
  72      1.73        1.00       0.00       0.000        0
  73      2.07        2.00       0.00       0.000        0
  74      1.45        1.00       0.00       0.000        0
  75      1.45        1.00       0.00       0.000        0
  76      1.45        1.00       0.00       0.000        0
  77      1.02        1.00       0.00       0.000        0
  78      1.00        1.00       0.00       0.000        0
  79      1.00        1.00       0.00       0.000        0
  80      1.20        1.00       0.00       0.000        0
  81      1.20        1.00       0.00       0.000        0
  82      1.20        1.00       0.00       0.000        0
  83      1.20        1.00       0.00       0.000        0
  84      1.44        1.00       0.00       0.000        0
  85      1.01        1.00       0.00       0.000        0
  86      1.01        1.00       0.00       0.000        0
  87      1.01        1.00       0.00       0.000        0
  88      1.01        1.00       0.00       0.000        0
  89      1.01        1.00       0.00       0.000        0
  90      1.01        1.00       0.00       0.000        0
  91      1.00        1.00       0.00       0.000        0
  92      1.20        1.00       0.00       0.000        0
  93      1.00        1.00       0.00       0.000        0
  94      1.00        1.00       0.00       0.000        0
  95      1.20        1.00       0.00       0.000        0
  96      1.00        1.00       0.00       0.000        0
  97      1.00        1.00       0.00       0.000        0
  98      1.00        1.00       0.00       0.000        0
  99      1.00        1.00       0.00       0.000        0
 100      1.20        1.00       0.00       0.000        0
 101      1.44        1.00       0.00       0.000        0
 102      1.73        0.00       1.00       1.000        0
 103      2.07        2.00       0.00       0.000        0
 104      2.49        2.00       0.00       0.000        0
 105      2.49        2.00       0.00       0.000        0
 106      1.74        1.00       0.00       0.000        0
 107      2.09        2.00       0.00       0.000        0
 108      2.09        2.00       0.00       0.000        0
 109      2.09        2.00       0.00       0.000        0
 110      1.46        1.00       0.00       0.000        0
 111      1.76        1.00       0.00       0.000        0
 112      1.23        1.00       0.00       0.000        0
 113      1.47        1.00       0.00       0.000        0
 114      1.03        1.00       0.00       0.000        0
 115      1.03        1.00       0.00       0.000        0
 116      1.03        1.00       0.00       0.000        0
 117      1.24        1.00       0.00       0.000        0
 118      1.24        1.00       0.00       0.000        0
 119      1.49        1.00       0.00       0.000        0
 120      1.78        1.00       0.00       0.000        0
 121      2.14        2.00       0.00       0.000        0
 122      2.14        2.00       0.00       0.000        0
