=== DDPG Simulation Log ===
Timestamp : 2026-05-28 20:33:34.658972
Base Seed : 51251
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1      7.14        6.00       0.00       0.143        0
   2     13.28       10.00       0.00       0.000        3
   3     13.50       10.00       0.00       0.000        6
   4     12.70       10.00       0.00       0.000        8
   5     12.38       10.00       0.00       0.000       10
   6     11.97       13.00       0.00       0.091        7
   7     16.36       14.00       0.00       0.000        9
   8     15.13       19.00       0.00       0.067        4
   9     21.52       23.00       0.00       0.000        2
  10     23.08       25.00       0.00       0.000        0
  11     24.46       23.00       0.00       0.042        0
  12     23.43       22.00       0.00       0.043        0
  13     22.98       20.00       0.00       0.000        2
  14     20.87       17.00       0.00       0.000        5
  15     18.02       13.00       0.00       0.000       10
  16     13.63       16.00       0.00       0.000        7
  17     17.98       16.00       0.00       0.000        8
  18     16.90       15.00       0.00       0.062        8
  19     16.91       16.00       0.00       0.000        8
  20     17.12       12.00       0.00       0.000       13
  21     12.22       10.00       1.00       0.000       15
  22     10.45       10.00       1.00       0.000       15
  23     10.74       10.00       1.00       0.000       15
  24     10.69       10.00       1.00       0.000       15
  25     10.70       10.00       1.00       0.000       15
  26     10.70       14.00       1.00       0.100       10
  27     16.26       15.00       0.00       0.000       11
  28     15.56       15.00       0.00       0.000       11
  29     15.67       14.00       0.00       0.067       11
  30     15.39       18.00       0.00       0.067        7
  31     20.11       14.00       0.00       0.000       13
  32     13.45       15.00       0.00       0.000       11
  33     15.99       21.00       0.00       0.000        5
  34     21.87       21.00       0.00       0.000        5
  35     21.10       17.00       0.00       0.000        9
  36     17.00       17.00       0.00       0.000        8
  37     18.03       22.00       0.00       0.000        4
  38     22.48       16.00       0.00       0.000       10
  39     15.57       22.00       0.00       0.000        3
  40     22.95       22.00       0.00       0.000        3
  41     22.06       21.00       0.00       0.045        3
  42     21.94       15.00       0.00       0.000        9
  43     14.92       21.00       0.00       0.000        2
  44     22.62       15.00       0.00       0.000        9
  45     14.78       23.00       0.00       0.000        0
  46     24.04       23.00       0.00       0.000        1
  47     22.95       22.00       0.00       0.045        0
  48     23.07       23.00       0.00       0.000        0
  49     23.30       22.00       0.00       0.043        0
  50     23.00       16.00       0.00       0.000        6
  51     16.46       18.00       0.00       0.000        4
  52     19.94       13.00       0.00       0.000       10
  53     13.26       15.00       0.00       0.000        8
  54     16.84       18.00       0.00       0.000        6
  55     19.41       20.00       0.00       0.105        3
  56     22.17       25.00       0.00       0.000        0
  57     24.54       24.00       0.00       0.000        0
  58     23.70       20.00       0.00       0.043        2
  59     21.10       17.00       0.00       0.095        4
  60     19.28       14.00       0.00       0.000        9
  61     14.56        9.00       0.00       0.071       13
  62     10.71       10.00       1.00       0.000       13
  63     11.10       10.00       1.00       0.000       14
  64     10.83       10.00       1.00       0.000       14
  65     10.87       10.00       1.00       0.000       14
  66     10.87       10.00       1.00       0.100       13
  67     11.93       13.00       1.00       0.000       11
  68     14.01       11.00       0.00       0.143       12
  69     13.50       13.00       0.00       0.000       12
  70     13.94       13.00       0.00       0.000       12
  71     13.87       18.00       0.00       0.000        7
  72     19.55       18.00       0.00       0.053        7
  73     19.22       19.00       0.00       0.000        7
  74     19.51       19.00       0.00       0.000        7
  75     19.45       22.00       0.00       0.053        3
  76     22.94       16.00       0.00       0.045        8
  77     16.51       17.00       0.00       0.125        5
  78     20.13       21.00       0.00       0.000        4
