=== DDPG_NO_AOI Simulation Log ===
Timestamp : 2026-05-29 16:29:27.005196
Base Seed : 70551
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1      7.47        7.00       0.00       0.000        0
   2     13.76       13.00       0.00       0.000        0
   3     17.91       15.00       0.00       0.118        0
   4     20.13       20.00       0.00       0.000        0
   5     22.20       22.00       0.00       0.000        0
   6     23.35       22.00       0.00       0.043        0
   7     23.73       23.00       0.00       0.000        0
   8     23.84       22.00       0.00       0.000        1
   9     22.75       22.00       0.00       0.000        1
  10     22.97       23.00       0.00       0.000        0
  11     23.97       23.00       0.00       0.000        0
  12     23.78       19.00       0.00       0.043        3
  13     20.44       19.00       0.00       0.050        3
  14     21.19       18.00       0.00       0.095        4
  15     20.50       19.00       0.00       0.000        5
  16     19.99       18.00       0.00       0.053        5
  17     19.94       16.00       0.00       0.000        8
  18     16.97       14.00       0.00       0.062        9
  19     16.24       15.00       0.00       0.000       10
  20     16.15       14.00       0.00       0.000       12
  21     14.47       14.00       0.00       0.000       12
  22     14.76       17.00       0.00       0.000        9
  23     18.51       16.00       0.00       0.056       10
  24     17.28       17.00       0.00       0.000       10
  25     17.69       19.00       0.00       0.000        8
  26     19.71       18.00       0.00       0.053        8
  27     19.16       19.00       0.00       0.000        8
  28     19.41       18.00       0.00       0.053        8
  29     19.22       18.00       0.00       0.053        8
  30     19.26       17.00       0.00       0.053        9
  31     18.27       19.00       0.00       0.000        8
  32     19.59       14.00       0.00       0.053       12
  33     14.70       15.00       0.00       0.000       11
  34     16.06       15.00       0.00       0.000       12
  35     15.45       10.00       1.00       0.000       17
  36      8.64       10.00       1.00       0.000       15
  37     10.96        9.00       1.00       0.100       15
  38     10.89       10.00       1.00       0.100       14
  39     12.10       14.00       0.00       0.167       10
  40     18.02       16.00       0.00       0.000       12
  41     16.07       18.00       0.00       0.000       10
  42     18.74       18.00       0.00       0.000       10
  43     18.24       19.00       0.00       0.000        9
  44     19.32       17.00       0.00       0.000       11
  45     17.00       17.00       0.00       0.000       11
  46     17.42       15.00       0.00       0.000       13
  47     14.87       15.00       0.00       0.000       12
  48     15.66       13.00       0.00       0.000       14
  49     12.93       10.00       1.00       0.083       15
  50     11.23       12.00       1.00       0.091       13
  51     14.22       11.00       1.00       0.000       16
  52     10.35       15.00       1.00       0.000       11
  53     16.87       15.00       0.00       0.000       12
  54     15.31       15.00       0.00       0.000       12
  55     15.58       15.00       0.00       0.000       12
  56     15.54       14.00       0.00       0.067       12
  57     15.45       16.00       0.00       0.000       11
  58     16.85       16.00       0.00       0.000       11
  59     16.59       17.00       0.00       0.062        9
  60     18.88       20.00       0.00       0.000        7
  61     20.55       20.00       0.00       0.000        7
  62     20.21       16.00       0.00       0.000       11
  63     16.00       15.00       0.00       0.000       12
  64     15.46       14.00       0.00       0.000       13
  65     14.25       13.00       0.00       0.143       12
  66     15.56       20.00       0.00       0.000        7
  67     21.13       22.00       0.00       0.048        5
  68     22.85       25.00       0.00       0.045        1
  69     25.74       26.00       0.00       0.000        0
  70     25.63       22.00       0.00       0.000        3
  71     21.83       21.00       0.00       0.048        2
  72     22.75       23.00       0.00       0.045        0
  73     24.58       24.00       0.00       0.000        0
  74     24.44       24.00       0.00       0.000        0
  75     24.47       23.00       0.00       0.042        0
  76     24.25       24.00       0.00       0.000        0
  77     24.52       22.00       0.00       0.000        2
  78     22.34       18.00       0.00       0.000        6
  79     18.60       16.00       0.00       0.000        8
  80     17.21       12.00       0.00       0.000       13
  81     11.91       13.00       1.00       0.091       10
  82     16.07       12.00       0.00       0.000       14
  83     11.75       12.00       1.00       0.000       13
  84     13.03       12.00       1.00       0.000       14
  85     12.44       12.00       1.00       0.000       14
  86     12.55       11.00       1.00       0.000       15
  87     11.10       10.00       1.00       0.000       16
  88      9.91       13.00       1.00       0.111       11
  89     16.35       13.00       0.00       0.062       13
  90     14.04       18.00       0.00       0.000        9
  91     19.36       18.00       0.00       0.000       10
  92     18.12       18.00       0.00       0.000       10
  93     18.35       14.00       0.00       0.000       14
  94     13.31       13.00       1.00       0.077       13
  95     14.63       17.00       0.00       0.000       10
  96     18.21       24.00       0.00       0.000        4
  97     24.20       24.00       0.00       0.000        4
  98     23.40       24.00       0.00       0.000        3
  99     23.86       25.00       0.00       0.043        0
 100     25.76       20.00       0.00       0.040        4
 101     20.52       12.00       0.00       0.050       11
 102     12.93       13.00       0.00       0.000       10
 103     14.78       14.00       0.00       0.000       10
 104     15.40       11.00       0.00       0.000       14
 105     10.88       11.00       1.00       0.000       13
 106     12.18       10.00       1.00       0.000       15
 107     10.10       10.00       1.00       0.000       15
 108     10.59       11.00       1.00       0.000       14
 109     11.88       11.00       1.00       0.000       14
 110     11.63       15.00       0.00       0.000       10
 111     17.00       22.00       0.00       0.000        5
 112     22.77       26.00       0.00       0.000        1
 113     25.73       25.00       0.00       0.040        0
