=== CUBIC Simulation Log ===
Timestamp : 2026-05-27 12:40:06.897901
Base Seed : 83147
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1      7.00        9.00       0.00       0.100        0
   2      4.90        6.00       0.00       0.143        0
   3      7.40        4.00       0.00       0.000        0
   4     10.20        7.00       0.00       0.000        0
   5     17.80       10.00       0.00       0.000        0
   6     32.60       13.00       0.00       0.000        4
   7     57.00       15.00       0.00       0.000       21
   8     93.40       12.00       1.00       0.000       66
   9    144.20       16.00       1.00       0.000      143
  10    211.80       16.00       2.00       0.000      271
  11    148.26       16.00       3.00       0.863      284
  12    103.78       14.00       4.00       0.892      286
  13     72.65       13.00       4.00       0.874      286
  14     50.85       11.00       5.00       0.806      289
  15     35.60       14.00       6.00       0.780      286
  16     24.92       14.00       7.00       0.600      286
  17     17.44       12.00       8.00       0.458      287
  18     12.21       11.00       9.00       0.353      287
  19     17.84       13.00      10.00       0.000      286
  20     12.49        9.00      10.00       0.235      290
  21      8.74       11.00      11.00       0.167      289
  22     12.89       11.00      12.00       0.000      286
  23     15.69       10.00      13.00       0.000      288
  24     10.98       10.00      14.00       0.200      290
  25     16.09       10.00      15.00       0.000      290
  26     11.26       10.00      16.00       0.375      290
  27      7.88       10.00      17.00       0.091      290
  28     11.66       10.00      18.00       0.000      287
  29     14.46       10.00      19.00       0.000      288
  30     10.12       10.00      20.00       0.143      290
  31     14.86       10.00      21.00       0.000      290
  32     10.40       17.00      22.00       0.286      283
  33      7.28       16.00      22.00       0.100      276
  34     10.80       25.00      22.00       0.000      258
  35     13.60       25.00      22.00       0.000      243
  36     21.20       25.00      21.00       0.000      231
  37     36.00       17.00      20.00       0.000      235
  38     60.40       22.00      20.00       0.000      249
  39     42.28       17.00      19.00       0.150      283
  40     29.60       17.00      19.00       0.643      281
  41     20.72       19.00      18.00       0.345      281
  42     14.50       23.00      17.00       0.100      276
  43     21.12       19.00      16.00       0.000      271
  44     23.92       16.00      15.00       0.000      276
  45     31.52       20.00      14.00       0.000      279
  46     22.06       20.00      13.00       0.323      280
  47     15.44       22.00      12.00       0.091      278
  48     22.46       29.00      11.00       0.000      264
  49     15.72       27.00      11.00       0.091      257
  50     11.01       26.00      11.00       0.067      245
  51      7.70       25.00      12.00       0.182      229
  52     11.41       22.00      12.00       0.000      214
  53      7.98       13.00      12.00       0.182      210
  54     11.81       15.00      12.00       0.000      202
  55     14.61       11.00      13.00       0.000      202
  56     22.21       13.00      13.00       0.000      203
  57     37.01       15.00      13.00       0.000      210
  58     25.90       14.00      13.00       0.027      232
  59     18.13       14.00      14.00       0.040      242
  60     26.30       17.00      14.00       0.000      243
  61     18.41       15.00      14.00       0.038      253
  62     12.89       11.00      15.00       0.056      259
  63     18.81       12.00      15.00       0.000      259
  64     21.61       15.00      15.00       0.000      262
  65     29.21       12.00      15.00       0.000      271
  66     44.01       12.00      16.00       0.000      288
  67     30.81       16.00      15.00       0.727      284
  68     21.57       16.00      14.00       0.467      284
  69     15.10       13.00      14.00       0.238      287
  70     10.57       13.00      14.00       0.133      287
  71     15.50       13.00      14.00       0.000      284
  72     10.85       11.00      15.00       0.067      287
  73     15.90       16.00      15.00       0.000      281
  74     11.13       15.00      16.00       0.067      280
  75      7.79       15.00      16.00       0.091      275
  76     11.53       18.00      16.00       0.000      264
  77      8.07       13.00      17.00       0.182      260
  78     11.93       12.00      17.00       0.000      256
  79      8.35       11.00      18.00       0.091      255
  80     12.33       16.00      18.00       0.000      247
  81      8.63       18.00      17.00       0.083      240
  82      6.04       18.00      17.00       0.125      229
  83      9.03       19.00      17.00       0.000      216
  84      6.32       18.00      18.00       0.111      206
  85      4.42       16.00      18.00       0.167      195
  86      6.72       12.00      18.00       0.000      187
  87      9.52       12.00      18.00       0.000      181
  88      6.66       11.00      18.00       0.111      178
  89      9.92       12.00      19.00       0.000      172
  90     12.72       10.00      19.00       0.000      171
  91     20.32       10.00      19.00       0.000      173
  92     35.12       10.00      19.00       0.000      183
  93     24.58        9.00      19.00       0.029      208
  94     35.52       10.00      20.00       0.000      222
  95     38.32       15.00      19.00       0.000      242
  96     45.92       15.00      18.00       0.000      265
  97     32.14       15.00      18.00       0.222      285
  98     22.50       18.00      17.00       0.531      282
  99     15.75       22.00      15.00       0.182      278
 100     22.90       17.00      13.00       0.000      276
 101     25.70       17.00      12.00       0.000      281
 102     17.99       17.00      11.00       0.240      283
 103     26.10       13.00      11.00       0.000      287
 104     18.27       10.00      12.00       0.500      290
 105     12.79       12.00      12.00       0.444      288
 106      8.95       11.00      13.00       0.083      288
 107      6.27       14.00      13.00       0.250      280
 108      9.35       16.00      14.00       0.000      270
 109     12.15       15.00      14.00       0.000      264
 110     19.75       13.00      15.00       0.000      263
 111     34.55       15.00      15.00       0.000      267
 112     24.19       12.00      16.00       0.029      288
 113     16.93       17.00      17.00       0.500      283
 114     24.59       17.00      17.00       0.000      282
 115     17.21       17.00      18.00       0.250      283
 116     12.05       12.00      18.00       0.118      286
 117     17.61       14.00      18.00       0.000      284
 118     12.33       10.00      19.00       0.059      290
 119      8.63       12.00      19.00       0.167      288
 120     12.73       12.00      19.00       0.000      284
 121     15.53       12.00      20.00       0.000      284
 122     23.13       12.00      20.00       0.000      287
 123     16.19       13.00      20.00       0.478      286
 124     11.33       14.00      21.00       0.125      286
 125     16.59       14.00      21.00       0.000      283
 126     19.39       14.00      20.00       0.000      285
 127     13.57       18.00      19.00       0.211      282
 128     19.79       23.00      18.00       0.000      272
 129     22.59       19.00      18.00       0.000      272
 130     30.19       19.00      18.00       0.000      275
 131     21.13       18.00      18.00       0.200      281
 132     14.79       15.00      18.00       0.095      285
 133     21.53       10.00      19.00       0.000      289
 134     15.07       10.00      19.00       0.476      290
 135     10.55       10.00      19.00       0.333      290
 136      7.39       12.00      20.00       0.100      287
 137     10.95       13.00      20.00       0.000      281
 138      7.67       12.00      20.00       0.100      278
 139     11.35       17.00      19.00       0.000      268
 140     14.15       17.00      19.00       0.000      262
 141     21.75       14.00      19.00       0.000      262
 142     15.23       17.00      18.00       0.143      263
 143     22.15       20.00      17.00       0.000      258
 144     15.51       19.00      17.00       0.045      260
 145     22.55       20.00      17.00       0.000      255
 146     25.35       20.00      17.00       0.000      257
 147     17.75       13.00      17.00       0.040      268
 148     25.75       14.00      17.00       0.000      271
 149     28.55       10.00      18.00       0.000      286
 150     19.99       10.00      19.00       0.500      290
