=== RENO Simulation Log ===
Timestamp : 2026-05-29 16:49:36.198930
Base Seed : 81265
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1      5.00        9.00       0.00       0.100        0
   2      5.20        5.00       0.00       0.000        0
   3      5.39        5.00       0.00       0.000        0
   4      5.58        5.00       0.00       0.000        0
   5      5.76        5.00       0.00       0.000        0
   6      5.93        5.00       0.00       0.000        0
   7      6.10        5.00       0.00       0.000        0
   8      6.26        6.00       0.00       0.000        0
   9      6.42        6.00       0.00       0.000        0
  10      6.58        6.00       0.00       0.000        0
  11      6.73        6.00       0.00       0.000        0
  12      6.88        6.00       0.00       0.000        0
  13      3.44        5.00       0.00       0.167        0
  14      3.73        3.00       0.00       0.000        0
  15      4.00        3.00       0.00       0.000        0
  16      4.25        3.00       0.00       0.000        0
  17      4.48        4.00       0.00       0.000        0
  18      4.71        4.00       0.00       0.000        0
  19      4.92        4.00       0.00       0.000        0
  20      5.12        4.00       0.00       0.000        0
  21      5.32        5.00       0.00       0.000        0
  22      2.66        4.00       0.00       0.200        0
  23      3.04        2.00       0.00       0.000        0
  24      3.36        3.00       0.00       0.000        0
  25      3.66        3.00       0.00       0.000        0
  26      2.00        2.00       0.00       0.333        0
  27      2.50        2.00       0.00       0.000        0
  28      2.90        2.00       0.00       0.000        0
  29      3.24        2.00       0.00       0.000        0
  30      3.55        3.00       0.00       0.000        0
  31      3.83        3.00       0.00       0.000        0
  32      4.10        3.00       0.00       0.000        0
  33      4.34        4.00       0.00       0.000        0
  34      4.57        4.00       0.00       0.000        0
  35      4.79        4.00       0.00       0.000        0
  36      5.00        4.00       0.00       0.000        0
  37      5.20        4.00       0.00       0.000        0
  38      5.39        5.00       0.00       0.000        0
  39      5.58        5.00       0.00       0.000        0
  40      5.75        5.00       0.00       0.000        0
  41      2.88        4.00       0.00       0.200        0
  42      3.22        2.00       0.00       0.000        0
  43      3.54        3.00       0.00       0.000        0
  44      3.82        3.00       0.00       0.000        0
  45      4.08        3.00       0.00       0.000        0
  46      4.32        4.00       0.00       0.000        0
  47      4.56        4.00       0.00       0.000        0
  48      4.78        4.00       0.00       0.000        0
  49      4.99        4.00       0.00       0.000        0
  50      5.19        4.00       0.00       0.000        0
  51      5.38        5.00       0.00       0.000        0
  52      5.56        5.00       0.00       0.000        0
  53      2.78        4.00       0.00       0.200        0
  54      3.14        2.00       0.00       0.000        0
  55      3.46        3.00       0.00       0.000        0
  56      2.00        2.00       0.00       0.333        0
  57      2.50        2.00       0.00       0.000        0
  58      2.90        2.00       0.00       0.000        0
  59      3.24        2.00       0.00       0.000        0
  60      3.55        3.00       0.00       0.000        0
  61      3.83        3.00       0.00       0.000        0
  62      4.10        3.00       0.00       0.000        0
  63      4.34        4.00       0.00       0.000        0
  64      4.57        4.00       0.00       0.000        0
  65      4.79        4.00       0.00       0.000        0
  66      5.00        4.00       0.00       0.000        0
  67      5.20        4.00       0.00       0.000        0
  68      5.39        5.00       0.00       0.000        0
  69      5.58        5.00       0.00       0.000        0
  70      5.75        5.00       0.00       0.000        0
  71      5.93        5.00       0.00       0.000        0
  72      6.10        5.00       0.00       0.000        0
  73      6.26        6.00       0.00       0.000        0
  74      6.42        6.00       0.00       0.000        0
  75      3.21        5.00       0.00       0.167        0
  76      3.52        3.00       0.00       0.000        0
  77      3.81        3.00       0.00       0.000        0
  78      4.07        3.00       0.00       0.000        0
  79      4.31        4.00       0.00       0.000        0
  80      4.55        4.00       0.00       0.000        0
  81      2.27        3.00       0.00       0.250        0
  82      2.71        2.00       0.00       0.000        0
  83      3.08        2.00       0.00       0.000        0
  84      3.41        3.00       0.00       0.000        0
  85      3.70        3.00       0.00       0.000        0
  86      3.97        3.00       0.00       0.000        0
  87      4.22        3.00       0.00       0.000        0
  88      2.11        3.00       0.00       0.250        0
  89      2.58        2.00       0.00       0.000        0
  90      2.97        2.00       0.00       0.000        0
  91      3.31        2.00       0.00       0.000        0
  92      3.61        3.00       0.00       0.000        0
  93      3.89        3.00       0.00       0.000        0
