=== DQN Simulation Log ===
Timestamp : 2026-05-27 12:40:06.897901
Base Seed : 83147
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1      7.00        7.00       0.00       0.000        0
   2      4.90        2.00       0.00       0.500        0
   3      3.43        3.00       0.00       0.000        0
   4      4.12        4.00       0.00       0.000        0
   5      4.12        4.00       0.00       0.000        0
   6      2.88        2.00       0.00       0.000        0
   7      2.88        2.00       0.00       0.000        0
   8      2.88        2.00       0.00       0.000        0
   9      3.46        3.00       0.00       0.000        0
  10      2.42        2.00       0.00       0.000        0
  11      1.69        1.00       0.00       0.000        0
  12      1.69        1.00       0.00       0.000        0
  13      1.19        1.00       0.00       0.000        0
  14      1.19        1.00       0.00       0.000        0
  15      1.19        1.00       0.00       0.000        0
  16      1.19        1.00       0.00       0.000        0
  17      1.00        1.00       0.00       0.000        0
  18      1.20        1.00       0.00       0.000        0
  19      1.00        1.00       0.00       0.000        0
  20      1.00        1.00       0.00       0.000        0
  21      1.00        1.00       0.00       0.000        0
  22      1.00        1.00       0.00       0.000        0
  23      1.00        1.00       0.00       0.000        0
  24      1.20        1.00       0.00       0.000        0
  25      1.20        1.00       0.00       0.000        0
  26      1.20        1.00       0.00       0.000        0
  27      1.20        1.00       0.00       0.000        0
  28      1.20        1.00       0.00       0.000        0
  29      1.20        1.00       0.00       0.000        0
  30      1.00        1.00       0.00       0.000        0
  31      1.20        1.00       0.00       0.000        0
  32      1.44        1.00       0.00       0.000        0
  33      1.73        1.00       0.00       0.000        0
  34      1.73        1.00       0.00       0.000        0
  35      1.73        1.00       0.00       0.000        0
  36      2.07        2.00       0.00       0.000        0
  37      2.49        2.00       0.00       0.000        0
  38      1.74        1.00       0.00       0.000        0
  39      2.09        2.00       0.00       0.000        0
  40      2.51        2.00       0.00       0.000        0
  41      2.51        2.00       0.00       0.000        0
  42      2.51        2.00       0.00       0.000        0
  43      3.01        3.00       0.00       0.000        0
  44      3.01        3.00       0.00       0.000        0
  45      3.01        3.00       0.00       0.000        0
  46      2.11        2.00       0.00       0.000        0
  47      1.47        1.00       0.00       0.000        0
  48      1.77        1.00       0.00       0.000        0
  49      2.12        2.00       0.00       0.000        0
  50      2.55        2.00       0.00       0.000        0
  51      3.06        3.00       0.00       0.000        0
  52      3.06        2.00       0.00       0.333        0
  53      3.67        3.00       0.00       0.000        0
  54      4.40        4.00       0.00       0.000        0
  55      4.40        4.00       0.00       0.000        0
  56      4.40        4.00       0.00       0.000        0
  57      3.08        3.00       0.00       0.000        0
  58      2.16        2.00       0.00       0.000        0
  59      2.16        2.00       0.00       0.000        0
  60      2.59        2.00       0.00       0.000        0
  61      1.81        1.00       0.00       0.000        0
  62      1.81        1.00       0.00       0.000        0
  63      1.27        1.00       0.00       0.000        0
  64      1.27        1.00       0.00       0.000        0
  65      1.52        1.00       0.00       0.000        0
  66      1.07        1.00       0.00       0.000        0
  67      1.00        1.00       0.00       0.000        0
  68      1.00        1.00       0.00       0.000        0
  69      1.00        1.00       0.00       0.000        0
  70      1.00        1.00       0.00       0.000        0
  71      1.20        1.00       0.00       0.000        0
  72      1.00        0.00       1.00       1.000        0
  73      1.00        1.00       0.00       0.000        0
  74      1.00        1.00       0.00       0.000        0
  75      1.00        0.00       1.00       1.000        0
  76      1.00        1.00       0.00       0.000        0
  77      1.00        1.00       0.00       0.000        0
  78      1.00        1.00       0.00       0.000        0
  79      1.20        1.00       0.00       0.000        0
  80      1.00        1.00       0.00       0.000        0
  81      1.20        1.00       0.00       0.000        0
  82      1.44        1.00       0.00       0.000        0
  83      1.44        1.00       0.00       0.000        0
  84      1.44        1.00       0.00       0.000        0
  85      1.44        1.00       0.00       0.000        0
  86      1.01        1.00       0.00       0.000        0
  87      1.21        1.00       0.00       0.000        0
  88      1.21        1.00       0.00       0.000        0
  89      1.21        1.00       0.00       0.000        0
  90      1.45        1.00       0.00       0.000        0
  91      1.74        1.00       0.00       0.000        0
  92      2.09        2.00       0.00       0.000        0
  93      2.09        2.00       0.00       0.000        0
  94      2.09        2.00       0.00       0.000        0
  95      2.09        2.00       0.00       0.000        0
  96      2.51        2.00       0.00       0.000        0
  97      1.76        1.00       0.00       0.000        0
  98      1.76        1.00       0.00       0.000        0
  99      2.11        2.00       0.00       0.000        0
 100      2.11        2.00       0.00       0.000        0
 101      2.11        2.00       0.00       0.000        0
 102      2.53        2.00       0.00       0.000        0
 103      1.77        1.00       0.00       0.000        0
 104      1.77        1.00       0.00       0.000        0
 105      1.77        1.00       0.00       0.000        0
 106      1.77        1.00       0.00       0.000        0
 107      1.24        1.00       0.00       0.000        0
 108      1.00        1.00       0.00       0.000        0
 109      1.00        1.00       0.00       0.000        0
 110      1.00        1.00       0.00       0.000        0
 111      1.00        1.00       0.00       0.000        0
 112      1.00        1.00       0.00       0.000        0
 113      1.00        1.00       0.00       0.000        0
 114      1.00        1.00       0.00       0.000        0
 115      1.00        1.00       0.00       0.000        0
 116      1.20        1.00       0.00       0.000        0
 117      1.00        1.00       0.00       0.000        0
 118      1.00        1.00       0.00       0.000        0
 119      1.00        1.00       0.00       0.000        0
 120      1.00        1.00       0.00       0.000        0
 121      1.20        1.00       0.00       0.000        0
 122      1.44        1.00       0.00       0.000        0
 123      1.44        1.00       0.00       0.000        0
