=== RENO Simulation Log ===
Timestamp : 2026-05-29 16:23:52.285542
Base Seed : 61182
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1     20.00       10.00       0.00       0.000        0
   2     40.00       20.00       0.00       0.000        0
   3     40.02       21.00       0.00       0.000       19
   4     40.05       18.00       1.00       0.000       41
   5     40.07       17.00       1.00       0.000       64
   6     20.04       16.00       2.00       0.025       87
   7     10.02        9.00       2.00       0.050       97
   8     10.12       10.00       3.00       0.000       97
   9     10.22       11.00       4.00       0.000       96
  10     10.32       10.00       5.00       0.000       96
  11     10.41       10.00       5.00       0.000       96
  12     10.51       10.00       6.00       0.000       96
  13     10.60       14.00       7.00       0.000       92
  14      5.30       12.00       7.00       0.100       89
  15      5.49       13.00       8.00       0.000       81
  16      5.67       15.00       8.00       0.000       71
  17      2.84       14.00       7.00       0.200       61
  18      3.19       12.00       7.00       0.000       51
  19      3.50       12.00       7.00       0.000       42
  20      3.79       18.00       6.00       0.000       27
  21      4.05       20.00       3.00       0.000       10
  22      2.03       13.00       0.00       0.250        0
  23      2.52        2.00       0.00       0.000        0
  24      2.92        2.00       0.00       0.000        0
  25      3.26        2.00       0.00       0.000        0
  26      3.57        3.00       0.00       0.000        0
  27      3.85        3.00       0.00       0.000        0
  28      2.00        2.00       0.00       0.333        0
  29      2.50        2.00       0.00       0.000        0
  30      2.90        2.00       0.00       0.000        0
  31      3.24        2.00       0.00       0.000        0
  32      3.55        3.00       0.00       0.000        0
  33      3.83        3.00       0.00       0.000        0
  34      4.10        3.00       0.00       0.000        0
  35      4.34        4.00       0.00       0.000        0
  36      4.57        4.00       0.00       0.000        0
  37      4.79        4.00       0.00       0.000        0
  38      5.00        4.00       0.00       0.000        0
  39      2.50        3.00       0.00       0.250        0
  40      2.90        2.00       0.00       0.000        0
  41      3.24        2.00       0.00       0.000        0
  42      3.55        3.00       0.00       0.000        0
  43      3.83        3.00       0.00       0.000        0
  44      4.09        3.00       0.00       0.000        0
  45      4.34        4.00       0.00       0.000        0
  46      4.57        4.00       0.00       0.000        0
  47      4.79        4.00       0.00       0.000        0
  48      5.00        4.00       0.00       0.000        0
  49      5.20        4.00       0.00       0.000        0
  50      5.39        5.00       0.00       0.000        0
  51      5.58        5.00       0.00       0.000        0
  52      5.75        5.00       0.00       0.000        0
  53      5.93        5.00       0.00       0.000        0
  54      6.10        5.00       0.00       0.000        0
  55      6.26        6.00       0.00       0.000        0
  56      6.42        6.00       0.00       0.000        0
  57      6.58        6.00       0.00       0.000        0
  58      6.73        6.00       0.00       0.000        0
  59      6.88        6.00       0.00       0.000        0
  60      7.02        6.00       0.00       0.000        0
  61      7.16        7.00       0.00       0.000        0
  62      3.58        6.00       0.00       0.143        0
  63      3.86        3.00       0.00       0.000        0
  64      4.12        3.00       0.00       0.000        0
  65      4.36        4.00       0.00       0.000        0
  66      4.59        4.00       0.00       0.000        0
  67      4.81        4.00       0.00       0.000        0
  68      5.02        4.00       0.00       0.000        0
  69      2.51        4.00       0.00       0.200        0
  70      2.91        2.00       0.00       0.000        0
  71      3.25        2.00       0.00       0.000        0
  72      3.56        3.00       0.00       0.000        0
  73      3.84        3.00       0.00       0.000        0
  74      4.10        3.00       0.00       0.000        0
  75      4.34        4.00       0.00       0.000        0
  76      4.57        4.00       0.00       0.000        0
  77      4.79        4.00       0.00       0.000        0
  78      5.00        4.00       0.00       0.000        0
  79      5.20        5.00       0.00       0.000        0
  80      5.39        5.00       0.00       0.000        0
  81      5.58        5.00       0.00       0.000        0
  82      5.76        5.00       0.00       0.000        0
  83      5.93        5.00       0.00       0.000        0
  84      2.97        4.00       0.00       0.200        0
  85      3.30        2.00       0.00       0.000        0
  86      3.61        3.00       0.00       0.000        0
  87      3.88        3.00       0.00       0.000        0
  88      4.14        3.00       0.00       0.000        0
  89      4.38        4.00       0.00       0.000        0
  90      4.61        4.00       0.00       0.000        0
  91      2.31        3.00       0.00       0.250        0
  92      2.74        2.00       0.00       0.000        0
  93      2.00        1.00       0.00       0.500        0
  94      2.50        2.00       0.00       0.000        0
  95      2.90        2.00       0.00       0.000        0
  96      3.24        2.00       0.00       0.000        0
  97      3.55        3.00       0.00       0.000        0
  98      3.83        3.00       0.00       0.000        0
  99      4.10        3.00       0.00       0.000        0
 100      4.34        4.00       0.00       0.000        0
 101      4.57        4.00       0.00       0.000        0
 102      4.79        4.00       0.00       0.000        0
 103      5.00        4.00       0.00       0.000        0
 104      5.20        4.00       0.00       0.000        0
 105      5.39        5.00       0.00       0.000        0
 106      2.70        4.00       0.00       0.200        0
 107      3.07        2.00       0.00       0.000        0
 108      3.39        3.00       0.00       0.000        0
 109      3.69        3.00       0.00       0.000        0
 110      3.96        3.00       0.00       0.000        0
 111      4.21        3.00       0.00       0.000        0
 112      4.45        4.00       0.00       0.000        0
 113      4.67        4.00       0.00       0.000        0
 114      4.89        4.00       0.00       0.000        0
 115      5.09        4.00       0.00       0.000        0
 116      5.29        5.00       0.00       0.000        0
 117      5.48        5.00       0.00       0.000        0
 118      5.66        5.00       0.00       0.000        0
 119      5.84        5.00       0.00       0.000        0
 120      6.01        5.00       0.00       0.000        0
 121      6.17        6.00       0.00       0.000        0
 122      6.34        6.00       0.00       0.000        0
 123      6.49        6.00       0.00       0.000        0
 124      6.65        6.00       0.00       0.000        0
 125      6.80        6.00       0.00       0.000        0
 126      6.95        6.00       0.00       0.000        0
 127      7.09        6.00       0.00       0.000        0
 128      7.23        7.00       0.00       0.000        0
 129      7.37        7.00       0.00       0.000        0
 130      7.50        7.00       0.00       0.000        0
 131      3.75        6.00       0.00       0.143        0
 132      4.02        3.00       0.00       0.000        0
 133      4.27        4.00       0.00       0.000        0
 134      4.50        4.00       0.00       0.000        0
 135      4.72        4.00       0.00       0.000        0
 136      4.94        4.00       0.00       0.000        0
 137      5.14        4.00       0.00       0.000        0
 138      5.33        5.00       0.00       0.000        0
 139      5.52        5.00       0.00       0.000        0
 140      5.70        5.00       0.00       0.000        0
 141      5.88        5.00       0.00       0.000        0
 142      6.05        5.00       0.00       0.000        0
 143      6.21        6.00       0.00       0.000        0
 144      6.37        6.00       0.00       0.000        0
 145      3.19        5.00       0.00       0.167        0
 146      3.50        3.00       0.00       0.000        0
 147      3.79        3.00       0.00       0.000        0
 148      4.05        3.00       0.00       0.000        0
 149      4.30        4.00       0.00       0.000        0
 150      4.53        4.00       0.00       0.000        0
